"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P51538","PROFESSIONAL PHARMACY","1010 S Eddy Suite A","PECOS","TX",79772,31.41598,-103.501003,"TX17",31.4123595,-103.49469,722.5897316,"reeves",48389,14791,2635.353,7
"P51567","BROOKSHIRES PHARMACY","427 PINSON ROAD ATTENTION PHARMACY DEPT","FORNEY","TX",75126,32.752467,-96.471701,"TX42",32.745877,-96.46514325,956.6189755,"kaufman",48257,114852,780.692,1
"P51581","HEB PHARMACY","609 19TH STREET","HONDO","TX",78861,29.347736,-99.135378,"TX55",29.346451,-99.13848767,333.9313721,"medina",48325,48548,1325.358,1
"P51592","Comfort Pharmacy","404 HIGHWAY 27","COMFORT","TX",78013,29.968257,-98.913145,"TX64",29.968257,-98.913145,0,"kerr",48265,50761,1103.328,4
"P51605","HEB PHARMACY","403 S COLORADO","LOCKHART","TX",78644,29.881857,-97.670279,"TX71",29.8737566,-97.6692426,907.2644716,"caldwell",48055,40544,545.24,1
"P51610","WALGREENS #4692","6984 RUFE SNOW dr","North Richland Hills","TX",761802356,32.874552,-97.237214,"TX46",32.87281137,-97.23331007,413.2378494,"tarrant",48439,1983675,863.653,1
"P51618","BROOKSHIRE BROTHERS PHARMACY","1250 MCGREGOR","MCGREGOR","TX",76657,31.440297,-97.42117,"TX75",31.440297,-97.42117,0,"mclennan",48309,245720,1037.15,2
"P51625","HEB PHARMACY","200 W HOPKINS","SAN MARCOS","TX",78666,29.88337,-97.943268,"TX4",29.87413242,-97.94489067,1040.182515,"hays",48209,194843,678.024,1
"P51628","Brookshire Brothers Pharmacy #40","3523 S FRONT ST","BROOKSHIRE","TX",77423,29.85915,-95.98022,"TX77",29.85915,-95.98022,0,"waller",48473,48443,513.258,1
"P51634","WHISENHUNT'S CITY PHARMACY","102 MAIN ST","HOOKS","TX",755610129,33.466532,-94.289098,"TX80",33.466532,-94.289098,0,"bowie",48037,93635,885.004,3
"P51646","BROOKSHIRE BROTHERS PHARMACY","2601 11TH STREET","HUNTSVILLE","TX",77340,30.718166,-95.565391,"TX88",30.7137146,-95.5603269,693.1308215,"walker",48471,70818,784.221,4
"P51655","OAKDELL PHARMACY IN STONE OAK","104 Gallery Cir Ste 104","SAN ANTONIO","TX",782583330,29.612553,-98.49267,"TX65",29.60571161,-98.48576139,1013.448582,"bexar",48029,1892004,1240.307,1
"P51666","HEB PHARMACY","19337 McDonald Street","LYTLE","TX",78052,29.232518,-98.789555,"TX96",29.232574,-98.78946533,10.71135135,"atascosa",48013,48139,1219.542,1
"P51695","HEB PHARMACY","105 S BOUNDARY","BURNET","TX",78611,30.758759,-98.222725,"TX112",30.7586415,-98.2260985,322.9741171,"burnet",48053,45017,994.275,6
