"ID","Origin","Destination","Drive_Time"
"C1292_TX17","C1292","TX17",6988.20561756649
"C1294_TX17","C1294","TX17",5715.75482183192
"C1234_TX42","C1234","TX42",2613.33702888035
"C1235_TX42","C1235","TX42",2829.54588689873
"C1249_TX42","C1249","TX42",1798.24022758107
"C1250_TX42","C1250","TX42",1516.92068089267
"C1251_TX42","C1251","TX42",1561.18249538998
"C1252_TX42","C1252","TX42",1621.8153204708
"C1253_TX42","C1253","TX42",1637.23922312036
"C1254_TX42","C1254","TX42",1171.77873792082
"C1255_TX42","C1255","TX42",1401.34831745972
"C1256_TX42","C1256","TX42",3723.61032912457
"C1258_TX42","C1258","TX42",2662.59430572119
"C1259_TX42","C1259","TX42",3825.18834064254
"C1260_TX42","C1260","TX42",3602.93434162612
"C1261_TX42","C1261","TX42",3383.10434416756
"C1262_TX42","C1262","TX42",4140.89238482069
"C1263_TX42","C1263","TX42",4278.67312866395
"C1264_TX42","C1264","TX42",4078.08318630632
"C1265_TX42","C1265","TX42",3710.20519916906
"C1266_TX42","C1266","TX42",1221.76798469278
"C1267_TX42","C1267","TX42",3452.35866049473
"C1281_TX42","C1281","TX42",3133.69255158317
"C1282_TX42","C1282","TX42",2195.72903956421
"C1283_TX42","C1283","TX42",6822.50300162873
"C1286_TX42","C1286","TX42",2770.98595343428
"C1291_TX42","C1291","TX42",2573.70249061552
"C1297_TX42","C1297","TX42",1992.94537408781
"C1311_TX42","C1311","TX42",5754.30532576801
"C1313_TX42","C1313","TX42",6838.06274220087
"C1315_TX42","C1315","TX42",5846.23777299051
"C1293_TX55","C1293","TX55",4954.99867508301
"C1300_TX55","C1300","TX55",2907.79242379061
"C1301_TX55","C1301","TX55",2834.58257649254
"C1302_TX55","C1302","TX55",2715.06978311892
"C1303_TX55","C1303","TX55",2822.65325875348
"C1304_TX55","C1304","TX55",3105.45463261612
"C1306_TX55","C1306","TX55",3319.9953027942
"C1236_TX64","C1236","TX64",5402.49630305511
"C1237_TX64","C1237","TX64",5555.25493325763
"C1238_TX64","C1238","TX64",5890.30567698913
"C1239_TX64","C1239","TX64",5217.73626577829
"C1242_TX64","C1242","TX64",5838.51895089795
"C1293_TX64","C1293","TX64",4098.34317683727
"C1300_TX64","C1300","TX64",3732.75966411217
"C1301_TX64","C1301","TX64",3453.38003704508
"C1302_TX64","C1302","TX64",3300.01271686449
"C1303_TX64","C1303","TX64",3160.9942443604
"C1304_TX64","C1304","TX64",3160.49414436617
"C1306_TX64","C1306","TX64",3454.05546520013
"C1307_TX64","C1307","TX64",5531.70643726818
"C1236_TX71","C1236","TX71",2072.87685205443
"C1237_TX71","C1237","TX71",2168.98999316375
"C1238_TX71","C1238","TX71",2711.63565435719
"C1239_TX71","C1239","TX71",1958.02738286846
"C1242_TX71","C1242","TX71",3552.45166744839
"C1245_TX71","C1245","TX71",7083.28175869462
"C1293_TX71","C1293","TX71",2493.36202125563
"C1300_TX71","C1300","TX71",4576.34430870807
"C1301_TX71","C1301","TX71",4515.20825066225
"C1302_TX71","C1302","TX71",4586.7442098529
"C1303_TX71","C1303","TX71",4437.93331231102
"C1304_TX71","C1304","TX71",4142.46676760223
"C1306_TX71","C1306","TX71",3982.54359883873
"C1307_TX71","C1307","TX71",2541.86757793509
"C1309_TX71","C1309","TX71",6275.01710561018
"C1312_TX71","C1312","TX71",6355.9691160325
"C1234_TX46","C1234","TX46",1253.40128022971
"C1235_TX46","C1235","TX46",1213.61037740803
"C1249_TX46","C1249","TX46",2000.46079910078
"C1250_TX46","C1250","TX46",2203.992587925
"C1251_TX46","C1251","TX46",2103.16454891171
"C1252_TX46","C1252","TX46",1964.12729300928
"C1253_TX46","C1253","TX46",1916.17619523394
"C1254_TX46","C1254","TX46",2379.1367623695
"C1255_TX46","C1255","TX46",2161.56726571943
"C1256_TX46","C1256","TX46",1833.33344338876
"C1258_TX46","C1258","TX46",3875.84151651247
"C1259_TX46","C1259","TX46",1355.78411244679
"C1260_TX46","C1260","TX46",1275.68519845507
"C1261_TX46","C1261","TX46",824.078376837166
"C1262_TX46","C1262","TX46",1365.19620098279
"C1263_TX46","C1263","TX46",1332.00921462422
"C1264_TX46","C1264","TX46",1501.46165582937
"C1265_TX46","C1265","TX46",1026.65607303123
"C1266_TX46","C1266","TX46",2471.96898193157
"C1267_TX46","C1267","TX46",573.167645434103
"C1281_TX46","C1281","TX46",535.509394436351
"C1282_TX46","C1282","TX46",1356.21024024855
"C1286_TX46","C1286","TX46",1503.84682392886
"C1291_TX46","C1291","TX46",3204.87687462417
"C1297_TX46","C1297","TX46",2548.63500927316
"C1313_TX46","C1313","TX46",6646.88155705219
"C1315_TX46","C1315","TX46",2672.35360123907
"C1234_TX75","C1234","TX75",6630.22535513478
"C1235_TX75","C1235","TX75",6464.72689374797
"C1236_TX75","C1236","TX75",6299.74519453537
"C1237_TX75","C1237","TX75",6155.17410782097
"C1238_TX75","C1238","TX75",5574.72179666021
"C1239_TX75","C1239","TX75",6491.94262308143
"C1242_TX75","C1242","TX75",5054.62815637246
"C1245_TX75","C1245","TX75",6661.42790693351
"C1249_TX75","C1249","TX75",6571.29057026292
"C1250_TX75","C1250","TX75",6742.70745680589
"C1251_TX75","C1251","TX75",6814.47936499078
"C1252_TX75","C1252","TX75",6974.62157182631
"C1253_TX75","C1253","TX75",7133.38893027393
"C1255_TX75","C1255","TX75",7112.53802359603
"C1258_TX75","C1258","TX75",5672.76015691476
"C1259_TX75","C1259","TX75",6157.35490646115
"C1260_TX75","C1260","TX75",6175.37404848534
"C1261_TX75","C1261","TX75",6615.39078919436
"C1262_TX75","C1262","TX75",6389.44172305714
"C1263_TX75","C1263","TX75",6653.99081227894
"C1264_TX75","C1264","TX75",6133.09212869698
"C1265_TX75","C1265","TX75",6485.03988374382
"C1267_TX75","C1267","TX75",6876.99664496972
"C1281_TX75","C1281","TX75",7068.26882335256
"C1282_TX75","C1282","TX75",7081.12989982504
"C1307_TX75","C1307","TX75",5841.53594482515
"C1309_TX75","C1309","TX75",2217.09591334559
"C1313_TX75","C1313","TX75",1691.91083383815
"C1315_TX75","C1315","TX75",6957.33864957021
"C1236_TX4","C1236","TX4",2192.78317074255
"C1237_TX4","C1237","TX4",2354.88361378246
"C1238_TX4","C1238","TX4",2931.05108159039
"C1239_TX4","C1239","TX4",1985.48013650989
"C1242_TX4","C1242","TX4",3553.28246207374
"C1293_TX4","C1293","TX4",1593.1993251406
"C1300_TX4","C1300","TX4",3716.32291500332
"C1301_TX4","C1301","TX4",3605.15914594729
"C1302_TX4","C1302","TX4",3649.38762297953
"C1303_TX4","C1303","TX4",3478.42747584593
"C1304_TX4","C1304","TX4",3178.9181066438
"C1306_TX4","C1306","TX4",3073.01745963545
"C1307_TX4","C1307","TX4",2629.51309046127
"C1309_TX4","C1309","TX4",6598.78843609878
"C1312_TX4","C1312","TX4",6969.49803555232
"C1244_TX77","C1244","TX77",5074.04681136437
"C1245_TX77","C1245","TX77",4181.7001025466
"C1268_TX77","C1268","TX77",3468.64549127127
"C1269_TX77","C1269","TX77",3185.21720634582
"C1270_TX77","C1270","TX77",2706.9453160836
"C1271_TX77","C1271","TX77",2176.41662476071
"C1272_TX77","C1272","TX77",2347.74019556259
"C1273_TX77","C1273","TX77",2785.87538055842
"C1274_TX77","C1274","TX77",3540.10778734903
"C1275_TX77","C1275","TX77",2625.5401808989
"C1276_TX77","C1276","TX77",2161.00346323508
"C1277_TX77","C1277","TX77",2781.05998512094
"C1278_TX77","C1278","TX77",2390.16965947669
"C1279_TX77","C1279","TX77",2699.26640519676
"C1280_TX77","C1280","TX77",1896.94017498023
"C1284_TX77","C1284","TX77",5180.86547109552
"C1295_TX77","C1295","TX77",3560.76712578941
"C1308_TX77","C1308","TX77",3131.11367797016
"C1310_TX77","C1310","TX77",1989.63502339281
"C1312_TX77","C1312","TX77",7047.58444378721
"C1287_TX80","C1287","TX80",5486.31380607998
"C1314_TX80","C1314","TX80",5401.02218991865
"C1240_TX88","C1240","TX88",6996.54836008031
"C1245_TX88","C1245","TX88",3592.36954774858
"C1268_TX88","C1268","TX88",5650.27780836341
"C1269_TX88","C1269","TX88",5402.32407594695
"C1270_TX88","C1270","TX88",5262.38849604824
"C1271_TX88","C1271","TX88",5185.4596375355
"C1272_TX88","C1272","TX88",5172.80909410086
"C1273_TX88","C1273","TX88",5117.73906166684
"C1274_TX88","C1274","TX88",5130.9873224832
"C1275_TX88","C1275","TX88",4908.35111713624
"C1276_TX88","C1276","TX88",4765.78968687772
"C1277_TX88","C1277","TX88",4803.70812031301
"C1278_TX88","C1278","TX88",4658.91339125854
