"ID","Origin","Destination","Drive_Time"
"TX183_TX17","TX183","TX17",5775.20985750596
"TX215_TX17","TX215","TX17",5377.91786035189
"TX304_TX17","TX304","TX17",3352.12727643399
"TX362_TX17","TX362","TX17",3392.36151719396
"TX186_TX17","TX186","TX17",6499.47944396711
"TX454_TX17","TX454","TX17",4238.04644854474
"TX536_TX17","TX536","TX17",7175.60330132469
"TX46_TX42","TX46","TX42",3382.40974176847
"TX130_TX42","TX130","TX42",2710.0837454131
"TX145_TX42","TX145","TX42",7112.65896566939
"TX153_TX42","TX153","TX42",4065.22763613064
"TX157_TX42","TX157","TX42",4623.95613683475
"TX168_TX42","TX168","TX42",1456.40660181992
"TX184_TX42","TX184","TX42",3865.68481467819
"TX189_TX42","TX189","TX42",675.783022959733
"TX111_TX42","TX111","TX42",5872.50007905781
"TX199_TX42","TX199","TX42",6041.3475434633
"TX219_TX42","TX219","TX42",1995.8473067908
"TX150_TX42","TX150","TX42",3544.01173424483
"TX231_TX42","TX231","TX42",4133.71346397175
"TX236_TX42","TX236","TX42",5742.99311976892
"TX239_TX42","TX239","TX42",2369.79248182058
"TX249_TX42","TX249","TX42",5459.5923927596
"TX251_TX42","TX251","TX42",5734.99991924706
"TX254_TX42","TX254","TX42",3752.04734949928
"TX255_TX42","TX255","TX42",6499.56002478512
"TX264_TX42","TX264","TX42",5759.94034775227
"TX265_TX42","TX265","TX42",5192.73182417028
"TX274_TX42","TX274","TX42",5155.76414196478
"TX296_TX42","TX296","TX42",3776.44816001865
"TX300_TX42","TX300","TX42",4679.5586951526
"TX313_TX42","TX313","TX42",3577.46340300146
"TX320_TX42","TX320","TX42",5213.12840056428
"TX341_TX42","TX341","TX42",6107.22845031871
"TX345_TX42","TX345","TX42",3742.26752117449
"TX348_TX42","TX348","TX42",2524.159331626
"TX292_TX42","TX292","TX42",6348.38998206117
"TX375_TX42","TX375","TX42",3888.7136306712
"TX376_TX42","TX376","TX42",5533.71887314698
"TX382_TX42","TX382","TX42",4254.9736091108
"TX275_TX42","TX275","TX42",5387.97938347703
"TX384_TX42","TX384","TX42",5443.24111517366
"TX222_TX42","TX222","TX42",5332.41791453482
"TX404_TX42","TX404","TX42",3202.80090116376
"TX410_TX42","TX410","TX42",4564.69831804238
"TX230_TX42","TX230","TX42",6978.62678434177
"TX109_TX42","TX109","TX42",4992.73821172265
"TX430_TX42","TX430","TX42",6927.15711303216
"TX431_TX42","TX431","TX42",1030.61585115866
"TX72_TX42","TX72","TX42",5637.53741228052
"TX434_TX42","TX434","TX42",4042.26989727402
"TX250_TX42","TX250","TX42",1460.60696581419
"TX188_TX42","TX188","TX42",4188.26455961412
"TX193_TX42","TX193","TX42",7058.12023560717
"TX179_TX42","TX179","TX42",2991.19030554379
"TX447_TX42","TX447","TX42",5802.85248735127
"TX448_TX42","TX448","TX42",2259.45693841467
"TX206_TX42","TX206","TX42",3323.32123137594
"TX123_TX42","TX123","TX42",4606.47295995763
"TX459_TX42","TX459","TX42",4620.71080753207
"TX302_TX42","TX302","TX42",7161.29971387185
"TX40_TX42","TX40","TX42",5605.75874047795
"TX483_TX42","TX483","TX42",1739.45661911987
"TX245_TX42","TX245","TX42",4853.00493986377
"TX176_TX42","TX176","TX42",6630.14782633456
"TX495_TX42","TX495","TX42",5457.66462846015
"TX477_TX42","TX477","TX42",1145.34600488013
"TX312_TX42","TX312","TX42",6803.66916215004
"TX354_TX42","TX354","TX42",798.683519150599
"TX506_TX42","TX506","TX42",6043.92017626474
"TX406_TX42","TX406","TX42",6094.39832559074
"TX347_TX42","TX347","TX42",6652.31957458562
"TX508_TX42","TX508","TX42",4872.10123203103
"TX174_TX42","TX174","TX42",5047.04048625717
"TX166_TX42","TX166","TX42",5734.5902136463
"TX519_TX42","TX519","TX42",6258.2130680041
"TX151_TX42","TX151","TX42",3639.60085442213
"TX523_TX42","TX523","TX42",5092.87610463597
"TX233_TX42","TX233","TX42",4378.69589168623
"TX512_TX42","TX512","TX42",5415.78830542422
"TX173_TX42","TX173","TX42",4949.77912016093
"TX527_TX42","TX527","TX42",4160.10908161167
