"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P56952","Ridley's Pharmacy #1161","275 E 300 N","MORGAN","UT",84050,41.044371,-111.679156,"UT1",41.0439645,-111.6752015,335.079762943603,"morgan",49029,11014,609.169,2
"P57021","GLOBAL MEDICAL THERAPEUTICS, INC","1890 S 3850 W Ste 121-A","Salt Lake City","UT",841044909,40.729258,-111.984707,"UT11",40.730723,-111.991522,597.57755361997,"salt lake",49035,1106700,742.065,1
"P56667","BEAVER DRUG AND GIFT","98 N MAIN","BEAVER","UT",847131438,38.275351,-112.640975,"UT14",38.275351,-112.640975,0,"beaver",49001,6414,2582.9,7
"P56669","BULLOCHS DRUG STORE","91 N MAIN ST","CEDAR CITY","UT",847202697,37.679004,-113.062038,"UT16",37.6730055,-113.072973666667,1172.28040557799,"iron",49021,48504,3296.339,4
"P56672","WALKER DRUG","290 S MAIN ST","MOAB","UT",845322596,38.568954,-109.551208,"UT19",38.567911,-109.5503165,139.647289633828,"grand",49019,9544,3672.744,7
"P56754","WALMART PHARMACY 10-1686","5469 SOUTH REDWOOD ROAD","TAYLORSVILLE","UT",84123,40.650901,-111.936789,"UT2",40.6591556865672,-111.929487656716,1106.61798314492,"salt lake",49035,1106700,742.065,1
"P56690","PROFESSIONAL PLAZA PHARMACY, INC","2065 N ROBINS DRIVE","LAYTON","UT",840411133,41.089689,-111.997428,"UT23",41.088698375,-112.00126215625,340.062779436573,"davis",49011,334977,299.06,2
"P56689","CARBON MEDICAL PHARMACY","331 UT-123","Sunnyside","UT",84539,39.550257,-110.389468,"UT24",39.550257,-110.389468,0,"carbon",49007,20512,1479.184,7
"P56912","WALGREENS #13011","132 N Main St","Payson","UT",846511851,40.044995,-111.731747,"UT27",40.0415705714286,-111.727707714286,513.629298040795,"utah",49049,576496,2004.062,2
"P56728","DAVIS FOOD AND DRUG #1","575 W MAIN ST","VERNAL","UT",840782405,40.455438,-109.539123,"UT28",40.442637,-109.5233675,1952.43677299431,"uintah",49047,36343,4482.383,7
"P56700","SMITHS PHARMACY #178","156 SOUTH MAIN","BRIGHAM CITY","UT",84302,41.506699,-112.016562,"UT29",41.4991045,-112.02182025,952.31486268386,"box elder",49003,52182,5745.593,2
"P56786","CVS Pharmacy #16879","10130 S State St","SANDY","UT",84070,40.567316,-111.893163,"UT3",40.5607961142857,-111.879207971429,1385.45810402398,"salt lake",49035,1106700,742.065,1
"P56708","BOYDS FAMILY PHARMACY","25 W MAIN ST","CASTLEDALE","UT",84513,39.21133,-111.020012,"UT30",39.21133,-111.020012,0,"emery",49015,10410,4462.277,7
"P56990","WalMart Pharmacy 10-4706","3555 S 8400 W","Magna","UT",840443458,40.695182,-112.090147,"UT31",40.6945656666667,-112.088301,170.242889187817,"salt lake",49035,1106700,742.065,1
"P56717","SKYLINE PHARMACY","1 W MAIN ST","MOUNT PLEASANT","UT",846471327,39.54664,-111.456445,"UT32",39.539082,-111.4557795,843.290055669218,"sanpete",49039,28892,1589.931,6
"P56879","MOUNTAIN VIEW HEALTH MART","1100 W 2700 N","PLEASANT VIEW","UT",84414,41.307437,-112.006945,"UT33",41.3014568571429,-111.990967,1492.80736954686,"weber",49057,244101,576.271,2
"P56724","SAVON PHARMACY #0339","740 N MAIN ST","TOOELE","UT",840741612,40.544525,-112.296643,"UT34",40.5463505,-112.298215666667,242.885918234991,"tooele",49045,63357,6941.945,1
"P57087","Ridley's Pharmacy #1151","74 S 100 E","Tremonton","UT",843371606,41.710971,-112.164974,"UT35",41.7112086666667,-112.164029333333,82.8411565627841,"box elder",49003,52182,5745.593,2
"P57022","Stewarts Basin Family Pharmacy","245 W Highway 40","Roosevelt","UT",84066,40.296039,-109.988648,"UT36",40.300801,-109.988479333333,530.296800198051,"duchesne",49013,20259,3235.345,7
"P57079","Mears Health Mart Pharmacy","1050 Shepard Ln Ste 1","Farmington","UT",840252716,41.000908,-111.909136,"UT37",40.9926945,-111.90727325,927.620359801697,"davis",49011,334977,299.06,2
"P56746","WALMART PHARMACY 10-1438","1330 S PROVIDENCE CENTER DR","CEDAR CITY","UT",84720,37.590013,-113.187631,"UT38",37.590013,-113.187631,0,"iron",49021,48504,3296.339,4
"P56862","WALGREENS #9681","102 N 1200 E","LEHI","UT",840432294,40.389213,-111.826142,"UT39",40.39574955,-111.8161106,1119.29162627027,"utah",49049,576496,2004.062,2
"P57009","CVS Pharmacy #10578","11502 S 4000 W","South Jordan","UT",840956070,40.543437,-111.986896,"UT4",40.5401663157895,-111.992731578947,613.404054628926,"salt lake",49035,1106700,742.065,1
"P56760","WALMART PHARMACY 10-1827","6545 NORTH LANDMARK DRIVE","PARK CITY","UT",84098,40.726021,-111.549314,"UT40",40.730197,-111.551563,502.095302746083,"summit",49043,39731,1870.578,4
"P56766","LINS PHARMACY #2","1120 W STATE ST","HURRICANE","UT",847372054,37.177471,-113.309157,"UT41",37.1826572,-113.3168782,895.697953440709,"washington",49053,155577,2427.44,3
"P56883","WALGREENS #11523","560 S MAIN ST","HEBER CITY","UT",840322243,40.500999,-111.413703,"UT43",40.503581,-111.4263188,1105.87146561933,"wasatch",49051,29306,1177.015,6
"P56951","Birch Family Pharmacy","6727 N. Hwy 36","Tooele","UT",84074,40.651292,-112.290834,"UT44",40.6481885,-112.290135,350.487927962343,"tooele",49045,63357,6941.945,1
"P56825","WALMART PHARMACY 10-2794","777 N MAIN","EPHRAIM","UT",84627,39.373828,-111.589833,"UT46",39.362564,-111.5880015,1263.77036158262,"sanpete",49039,28892,1589.931,6
"P56927","Lins Supermarket Pharmacy #8","250 S Main St","Richfield","UT",847012559,38.764543,-112.08583,"UT47",38.7665694,-112.0847826,243.208293090849,"sevier",49041,20961,1910.433,7
"P56864","CENTRAL VALLEY COMMUNITY PHARMACY","152 W 1500 N","NEPHI","UT",84648,39.730887,-111.839657,"UT48",39.726646,-111.8384675,482.964651041787,"juab",49023,10694,3391.679,2
"P56866","Intermountain Pharmacy #140","159 N MAIN ST","MANTI","UT",846421257,39.267755,-111.637388,"UT49",39.267755,-111.637388,0,"sanpete",49039,28892,1589.931,6
"P56884","WALGREENS #11150","850 S STATE ST","OREM","UT",840977026,40.281895,-111.688818,"UT5",40.2867378571429,-111.689703571429,544.324292386195,"utah",49049,576496,2004.062,2
"P56870","KAMAS FOODTOWN PHARMACY","146 W 200 SOUTH","KAMAS","UT",84036,40.640037,-111.283175,"UT51",40.640037,-111.283175,0,"summit",49043,39731,1870.578,4
"P56983","Ridley's Pharmacy #1165","4045 E Pony Express Pkwy","Eagle Mountain","UT",840055512,40.363683,-111.966343,"UT53",40.362285,-111.94175475,2091.38956615912,"utah",49049,576496,2004.062,2
