"ID","Origin","Destination","Drive_Time"
"C1317_UT1","C1317","UT1",1461.47888253083
"C1318_UT1","C1318","UT1",1489.86816703181
"C1319_UT1","C1319","UT1",3963.50807598172
"C1320_UT1","C1320","UT1",2424.4405844395
"C1321_UT1","C1321","UT1",1820.27963177969
"C1322_UT1","C1322","UT1",4090.51821716195
"C1323_UT1","C1323","UT1",4006.58105409315
"C1325_UT1","C1325","UT1",4416.21475375389
"C1326_UT1","C1326","UT1",1979.56746794828
"C1327_UT1","C1327","UT1",1957.53993432305
"C1328_UT1","C1328","UT1",1948.84900006967
"C1329_UT1","C1329","UT1",2004.2517040398
"C1330_UT1","C1330","UT1",2381.84869450945
"C1332_UT1","C1332","UT1",2507.36643800988
"C1317_UT11","C1317","UT11",1209.09644301747
"C1318_UT11","C1318","UT11",2057.50231213466
"C1319_UT11","C1319","UT11",5341.32986342952
"C1320_UT11","C1320","UT11",879.182631157135
"C1321_UT11","C1321","UT11",2714.56812656972
"C1322_UT11","C1322","UT11",2748.37893108288
"C1323_UT11","C1323","UT11",2656.43158018128
"C1325_UT11","C1325","UT11",3088.96577358268
"C1326_UT11","C1326","UT11",917.569407157653
"C1327_UT11","C1327","UT11",707.220021045352
"C1328_UT11","C1328","UT11",708.758007935066
"C1329_UT11","C1329","UT11",616.87788477978
"C1330_UT11","C1330","UT11",794.935340920802
"C1332_UT11","C1332","UT11",783.34730178565
"C1331_UT16","C1331","UT16",3955.81222858796
"C1317_UT2","C1317","UT2",1514.37488332541
"C1318_UT2","C1318","UT2",2434.42106474501
"C1319_UT2","C1319","UT2",5695.44702460633
"C1320_UT2","C1320","UT2",524.9337588688
"C1321_UT2","C1321","UT2",3090.32442798592
"C1322_UT2","C1322","UT2",2338.31390952229
"C1323_UT2","C1323","UT2",2246.40988581209
"C1324_UT2","C1324","UT2",7079.06923930377
"C1325_UT2","C1325","UT2",2678.67652162627
"C1326_UT2","C1326","UT2",878.676298643858
"C1327_UT2","C1327","UT2",848.676536630067
