"ID","Origin","Destination","Drive_Time"
"UT11_UT1","UT11","UT1",2236.20832038421
"UT2_UT1","UT2","UT1",2466.05337514726
"UT23_UT1","UT23","UT1",1570.53351908519
"UT27_UT1","UT27","UT1",5230.45745223268
"UT29_UT1","UT29","UT1",3005.86877028004
"UT3_UT1","UT3","UT1",2773.53479329533
"UT31_UT1","UT31","UT1",2600.86791516038
"UT33_UT1","UT33","UT1",2180.91589922587
"UT34_UT1","UT34","UT1",3752.15456091969
"UT35_UT1","UT35","UT1",4110.32616749015
"UT37_UT1","UT37","UT1",1260.13868134368
"UT39_UT1","UT39","UT1",3635.92435320792
"UT4_UT1","UT4","UT1",3004.69661420562
"UT40_UT1","UT40","UT1",2168.60976642197
"UT43_UT1","UT43","UT1",3423.63476427389
"UT44_UT1","UT44","UT1",3385.1244988535
"UT48_UT1","UT48","UT1",6768.08090619857
"UT5_UT1","UT5","UT1",4101.29087652298
"UT51_UT1","UT51","UT1",2976.64535678962
"UT53_UT1","UT53","UT1",3873.92563090608
"UT54_UT1","UT54","UT1",6947.20909732897
"UT55_UT1","UT55","UT1",2516.10958029856
"UT57_UT1","UT57","UT1",4003.46669516214
"UT62_UT1","UT62","UT1",2793.26673551729
"UT67_UT1","UT67","UT1",5540.15978266657
"UT7_UT1","UT7","UT1",1928.00584327549
"UT70_UT1","UT70","UT1",1765.06882606648
"UT8_UT1","UT8","UT1",2239.37876576523
"UT9_UT1","UT9","UT1",1476.71007791725
"UT1_UT11","UT1","UT11",2236.20832038421
"UT2_UT11","UT2","UT11",747.51013521204
"UT23_UT11","UT23","UT11",2092.94983176298
"UT27_UT11","UT27","UT11",3757.32423721219
"UT29_UT11","UT29","UT11",4075.36286598
"UT3_UT11","UT3","UT11",1174.33793984151
"UT31_UT11","UT31","UT11",749.948155519689
"UT32_UT11","UT32","UT11",6488.15779470745
"UT33_UT11","UT33","UT11",3128.04315972595
"UT34_UT11","UT34","UT11",1763.74658263687
"UT35_UT11","UT35","UT11",5088.39967255872
"UT37_UT11","UT37","UT11",1698.78527046946
"UT39_UT11","UT39","UT11",2093.87123858973
"UT4_UT11","UT4","UT11",1220.04371302128
"UT40_UT11","UT40","UT11",2033.07291229932
"UT43_UT11","UT43","UT11",2878.30946299448
"UT44_UT11","UT44","UT11",1500.52462051779
"UT46_UT11","UT46","UT11",7148.81491951864
"UT48_UT11","UT48","UT11",5152.3556578877
"UT5_UT11","UT5","UT11",2758.99789872302
"UT51_UT11","UT51","UT11",3028.15403589027
"UT53_UT11","UT53","UT11",2118.04540024427
"UT54_UT11","UT54","UT11",6927.08724728339
"UT55_UT11","UT55","UT11",2217.01828347133
"UT57_UT11","UT57","UT11",2146.4763683175
"UT62_UT11","UT62","UT11",925.092490756625
"UT67_UT11","UT67","UT11",4004.87948188833
"UT7_UT11","UT7","UT11",776.018254837533
"UT70_UT11","UT70","UT11",2755.64902298868
"UT8_UT11","UT8","UT11",982.816301831728
"UT9_UT11","UT9","UT11",1208.58902127347
"UT16_UT14","UT16","UT14",3957.14729474291
"UT38_UT14","UT38","UT14",4561.46892682618
"UT41_UT14","UT41","UT14",6499.52571707609
"UT47_UT14","UT47","UT14",3822.98514714459
"UT49_UT14","UT49","UT14",6718.46055708104
"UT58_UT14","UT58","UT14",5885.16648334276
"UT59_UT14","UT59","UT14",3085.6122380506
"UT6_UT14","UT6","UT14",6558.82661247251
"UT61_UT14","UT61","UT14",3311.68920604059
"UT63_UT14","UT63","UT14",5943.62326973517
"UT72_UT14","UT72","UT14",2885.17847379732
"UT14_UT16","UT14","UT16",3957.14729474291
"UT38_UT16","UT38","UT16",1220.4398521836
"UT41_UT16","UT41","UT16",3141.06243262052
"UT47_UT16","UT47","UT16",7029.30834616595
"UT59_UT16","UT59","UT16",3255.45861302114
"UT6_UT16","UT6","UT16",4274.47311024339
"UT61_UT16","UT61","UT16",6477.78132753632
"UT63_UT16","UT63","UT16",3099.39684673652
"UT72_UT16","UT72","UT16",1761.91086580476
"UT24_UT19","UT24","UT19",6309.26015180333
"UT30_UT19","UT30","UT19",6945.85114057452
"UT66_UT19","UT66","UT19",7071.29236225226
"UT1_UT2","UT1","UT2",2466.05337514726
"UT11_UT2","UT11","UT2",747.51013521204
"UT23_UT2","UT23","UT2",2475.97648445456
"UT27_UT2","UT27","UT2",3352.81847718056
"UT29_UT2","UT29","UT2",4455.91133387296
"UT3_UT2","UT3","UT2",764.312058698149
"UT31_UT2","UT31","UT2",928.460427737755
"UT32_UT2","UT32","UT2",6080.10777398797
"UT33_UT2","UT33","UT2",3509.30323289485
"UT34_UT2","UT34","UT2",1730.23880561155
"UT35_UT2","UT35","UT2",5482.06812868736
"UT37_UT2","UT37","UT2",2045.78427193892
"UT39_UT2","UT39","UT2",1685.84605094609
"UT4_UT2","UT4","UT2",878.779375411842
"UT40_UT2","UT40","UT2",1906.19414890718
"UT43_UT2","UT43","UT2",2568.38540254179
"UT44_UT2","UT44","UT2",1613.35204745167
"UT46_UT2","UT46","UT2",6748.32031944312
"UT48_UT2","UT48","UT2",4765.17611862531
"UT5_UT2","UT5","UT2",2348.91209653534
"UT51_UT2","UT51","UT2",2822.16465292672
"UT53_UT2","UT53","UT2",1748.66715181692
"UT54_UT2","UT54","UT2",6621.02386746376
"UT55_UT2","UT55","UT2",2014.17317087751
"UT57_UT2","UT57","UT2",2229.14330662705
"UT62_UT2","UT62","UT2",714.841608812918
"UT67_UT2","UT67","UT2",3606.72453450305
"UT7_UT2","UT7","UT2",875.602566219792
"UT70_UT2","UT70","UT2",2778.85439038136
"UT8_UT2","UT8","UT2",751.493695832147
"UT9_UT2","UT9","UT2",1525.1472311486
"UT1_UT23","UT1","UT23",1570.53351908519
"UT11_UT23","UT11","UT23",2092.94983176298
"UT2_UT23","UT2","UT23",2475.97648445456
"UT27_UT23","UT27","UT23",5465.53820976149
"UT29_UT23","UT29","UT23",2392.74986940339
"UT3_UT23","UT3","UT23",2889.89152063512
"UT31_UT23","UT31","UT23",2283.59129166042
"UT33_UT23","UT33","UT23",1445.41549006987
"UT34_UT23","UT34","UT23",3214.99910909743
