"GEOID","Cluster","State","County.Code","Tract_RUC","Tract_Population","Tract_Land","Tract_Lat","Tract_Long","Tract_methadone_unserved","Name","Address","Pharm_Lat","Pharm_Long","Cluster_centroid_Latitude","Cluster_centroid_Longitude","Shortest_distance","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC","Max_RUC","Max_PopD","Drive_Time"
49001100100,"UT14","Utah",49001,7,6414,2582.9,38.34506,-112.5834,5.108546647,"BEAVER DRUG AND GIFT","98 N MAIN",38.275351,-112.640975,38.275351,-112.640975,9247.10454933365,6414,2582.9,7,7,2.48325525572031,1110.24296906246
49003960200,"UT29","Utah",49003,2,52182,5745.593,41.70854,-112.0591,0,"Kent's Pharmacy","260 N MAIN",41.516451,-112.014893,41.4991045,-112.02182025,21697.4745828902,52182,5745.593,2,2,9.08209126542726,1427.38411946038
49003960200,"UT35","Utah",49003,2,52182,5745.593,41.70854,-112.0591,0,"KENTS PHARMACY","300 E MAIN ST",41.711036,-112.161886,41.7112086666667,-112.164029333333,8546.3146412785,52182,5745.593,2,2,9.08209126542726,866.09261315239
49003960300,"UT35","Utah",49003,2,52182,5745.593,41.70276,-112.1516,11.28543412,"KENTS PHARMACY","300 E MAIN ST",41.711036,-112.161886,41.7112086666667,-112.164029333333,1256.78028164446,52182,5745.593,2,2,9.08209126542726,554.975286683209
49003960400,"UT29","Utah",49003,2,52182,5745.593,41.55997,-112.2855,6.01669707,"WALMART PHARMACY 10-3454","1200 SOUTH COMMERCE WAY",41.483988,-112.030281,41.4991045,-112.02182025,22891.2158618733,52182,5745.593,2,2,9.08209126542726,1478.33299724738
49003960400,"UT35","Utah",49003,2,52182,5745.593,41.55997,-112.2855,6.01669707,"Ridley's Pharmacy #1151","74 S 100 E",41.710971,-112.164974,41.7112086666667,-112.164029333333,19573.1232455071,52182,5745.593,2,2,9.08209126542726,1336.71680438087
49003960500,"UT29","Utah",49003,2,52182,5745.593,41.44208,-112.1593,6.42305905,"WALMART PHARMACY 10-3454","1200 SOUTH COMMERCE WAY",41.483988,-112.030281,41.4991045,-112.02182025,11730.4546460862,52182,5745.593,2,2,9.08209126542726,1001.99170855758
49003960500,"UT33","Utah",49003,2,52182,5745.593,41.44208,-112.1593,6.42305905,"Kent's Pharmacy","3673 West 2600 North",41.304281,-112.068027,41.3014568571429,-111.990967,17130.1367460816,244101,576.271,2,2,423.587166454672,1198.48973977513
49003960601,"UT29","Utah",49003,2,52182,5745.593,41.516,-112.0089,0,"Kent's Pharmacy","260 N MAIN",41.516451,-112.014893,41.4991045,-112.02182025,502.047973626679,52182,5745.593,2,2,9.08209126542726,522.76331177701
49003960601,"UT33","Utah",49003,2,52182,5745.593,41.516,-112.0089,0,"MOUNTAIN VIEW HEALTH MART","1100 W 2700 N",41.307437,-112.006945,41.3014568571429,-111.990967,23217.700658525,244101,576.271,2,2,423.587166454672,1458.30696755822
49003960602,"UT29","Utah",49003,2,52182,5745.593,41.52927,-111.9844,0,"Kent's Pharmacy","260 N MAIN",41.516451,-112.014893,41.4991045,-112.02182025,2914.63359030475,52182,5745.593,2,2,9.08209126542726,625.73246589683
49003960701,"UT29","Utah",49003,2,52182,5745.593,41.49567,-112.027,0,"BRIGHAM COMMUNITY PHARMACY","1017 S MEDICAL DRIVE",41.48928,-112.025545,41.4991045,-112.02182025,721.603547960058,52182,5745.593,2,2,9.08209126542726,532.133943689559
49003960701,"UT33","Utah",49003,2,52182,5745.593,41.49567,-112.027,0,"MOUNTAIN VIEW HEALTH MART","1100 W 2700 N",41.307437,-112.006945,41.3014568571429,-111.990967,21020.8096510182,244101,576.271,2,2,423.587166454672,1364.54365935783
49003960702,"UT29","Utah",49003,2,52182,5745.593,41.49664,-112.0069,0,"SMITHS PHARMACY #178","156 SOUTH MAIN",41.506699,-112.016562,41.4991045,-112.02182025,1379.4026260746,52182,5745.593,2,2,9.08209126542726,560.208808343487
49003960702,"UT33","Utah",49003,2,52182,5745.593,41.49664,-112.0069,0,"MOUNTAIN VIEW HEALTH MART","1100 W 2700 N",41.307437,-112.006945,41.3014568571429,-111.990967,21061.9819517262,244101,576.271,2,2,423.587166454672,1366.30089315204
49003960801,"UT29","Utah",49003,2,52182,5745.593,41.42438,-111.9938,0,"WALMART PHARMACY 10-3454","1200 SOUTH COMMERCE WAY",41.483988,-112.030281,41.4991045,-112.02182025,7300.29877055538,52182,5745.593,2,2,9.08209126542726,812.912655789927
49003960801,"UT33","Utah",49003,2,52182,5745.593,41.42438,-111.9938,0,"MOUNTAIN VIEW HEALTH MART","1100 W 2700 N",41.307437,-112.006945,41.3014568571429,-111.990967,13064.275820663,244101,576.271,2,2,423.587166454672,1024.95879547827
49003960802,"UT29","Utah",49003,2,52182,5745.593,41.46918,-112.0387,0,"WALMART PHARMACY 10-3454","1200 SOUTH COMMERCE WAY",41.483988,-112.030281,41.4991045,-112.02182025,1791.74043093839,52182,5745.593,2,2,9.08209126542726,577.807385855074
49003960802,"UT33","Utah",49003,2,52182,5745.593,41.46918,-112.0387,0,"MOUNTAIN VIEW HEALTH MART","1100 W 2700 N",41.307437,-112.006945,41.3014568571429,-111.990967,18199.4201660652,244101,576.271,2,2,423.587166454672,1244.12675614003
49005000300,"UT35","Utah",49005,3,120288,1164.731,41.82184,-111.9791,0,"KENTS PHARMACY","300 E MAIN ST",41.711036,-112.161886,41.7112086666667,-112.164029333333,19556.9169396195,52182,5745.593,2,3,103.275348556877,1371.0478656757
49005001202,"UT29","Utah",49005,3,120288,1164.731,41.66639,-111.8555,0,"Kent's Pharmacy","260 N MAIN",41.516451,-112.014893,41.4991045,-112.02182025,21323.5985560661,52182,5745.593,2,3,103.275348556877,1446.44983706564
49005001300,"UT29","Utah",49005,3,120288,1164.731,41.65556,-111.9603,0,"Kent's Pharmacy","260 N MAIN",41.516451,-112.014893,41.4991045,-112.02182025,16138.8988536681,52182,5745.593,2,3,103.275348556877,1225.16685376729
49005001300,"UT35","Utah",49005,3,120288,1164.731,41.65556,-111.9603,0,"KENTS PHARMACY","300 E MAIN ST",41.711036,-112.161886,41.7112086666667,-112.164029333333,17860.8439018417,52182,5745.593,2,3,103.275348556877,1298.65946842334
49005001401,"UT29","Utah",49005,3,120288,1164.731,41.62936,-111.8267,0,"Kent's Pharmacy","260 N MAIN",41.516451,-112.014893,41.4991045,-112.02182025,20090.0312078169,52182,5745.593,2,3,103.275348556877,1393.80118264236
49005001402,"UT29","Utah",49005,3,120288,1164.731,41.63596,-111.8754,0,"Kent's Pharmacy","260 N MAIN",41.516451,-112.014893,41.4991045,-112.02182025,17661.4353407772,52182,5745.593,2,3,103.275348556877,1290.14871103711
49005001500,"UT29","Utah",49005,3,120288,1164.731,41.55343,-111.8596,0,"Kent's Pharmacy","260 N MAIN",41.516451,-112.014893,41.4991045,-112.02182025,13579.2881654144,52182,5745.593,2,3,103.275348556877,1115.92266959262
49007000600,"UT24","Utah",49007,7,20512,1479.184,39.70961,-110.3671,5.952894478,"CARBON MEDICAL PHARMACY","331 UT-123",39.550257,-110.389468,39.550257,-110.389468,17842.4555580177,20512,1479.184,7,7,13.8671051065993,1476.15987129481
49011125102,"UT1","Utah",49011,2,334977,299.06,41.0738,-111.8737,0,"Ridley's Pharmacy #1161","275 E 300 N",41.044371,-111.679156,41.0439645,-111.6752015,16655.1042176953,11014,609.169,2,2,1120.09964555608,1121.15008405083
49011125102,"UT23","Utah",49011,2,334977,299.06,41.0738,-111.8737,0,"Sky View Pharmacy","1750 E 3100 N",41.103003,-111.93188,41.088698375,-112.00126215625,5864.79711104173,334977,299.06,2,2,1120.09964555608,660.619776738852
49011125102,"UT33","Utah",49011,2,334977,299.06,41.0738,-111.8737,0,"WALMART PHARMACY 10-2921","534 HARRISVILLE ROAD",41.281659,-111.988342,41.3014568571429,-111.990967,25053.2922117441,244101,576.271,2,2,1120.09964555608,1479.58474763683
49011125102,"UT37","Utah",49011,2,334977,299.06,41.0738,-111.8737,0,"SMITHS PHARMACY #135","1316 NORTH HIGHWAY 89",41.002519,-111.906922,40.9926945,-111.90727325,8411.00054701347,334977,299.06,2,2,1120.09964555608,769.291739386126
49011125102,"UT9","Utah",49011,2,334977,299.06,41.0738,-111.8737,0,"DICKS PHARMACY","84 W Parrish Ln",40.922398,-111.880681,40.8887236428571,-111.889294714286,16864.1958289614,334977,299.06,2,2,1120.09964555608,1130.07411401966
49011125103,"UT1","Utah",49011,2,334977,299.06,41.12485,-111.9429,0,"Ridley's Pharmacy #1161","275 E 300 N",41.044371,-111.679156,41.0439645,-111.6752015,23874.3394576616,11014,609.169,2,2,1120.09964555608,1429.26704409259
49011125103,"UT23","Utah",49011,2,334977,299.06,41.12485,-111.9429,0,"Tibbitts Family Pharmacy","2940 N Church St Ste 201",41.102495,-111.937959,41.088698375,-112.00126215625,2522.8141404919,334977,299.06,2,2,1120.09964555608,517.983943555785
49011125103,"UT33","Utah",49011,2,334977,299.06,41.12485,-111.9429,0,"WALMART PHARMACY 10-2921","534 HARRISVILLE ROAD",41.281659,-111.988342,41.3014568571429,-111.990967,17865.9926231032,244101,576.271,2,2,1120.09964555608,1172.83080119364
49011125103,"UT37","Utah",49011,2,334977,299.06,41.12485,-111.9429,0,"SMITHS PHARMACY #135","1316 NORTH HIGHWAY 89",41.002519,-111.906922,40.9926945,-111.90727325,13948.61643824,334977,299.06,2,2,1120.09964555608,1005.63718562367
49011125103,"UT9","Utah",49011,2,334977,299.06,41.12485,-111.9429,0,"DICKS PHARMACY","84 W Parrish Ln",40.922398,-111.880681,40.8887236428571,-111.889294714286,23134.6997490458,334977,299.06,2,2,1120.09964555608,1397.69922132887
49011125104,"UT1","Utah",49011,2,334977,299.06,41.12434,-111.8669,0,"Ridley's Pharmacy #1161","275 E 300 N",41.044371,-111.679156,41.0439645,-111.6752015,18094.2292440773,11014,609.169,2,2,1120.09964555608,1182.57194017681
49011125104,"UT23","Utah",49011,2,334977,299.06,41.12434,-111.8669,0,"Sky View Pharmacy","1750 E 3100 N",41.103003,-111.93188,41.088698375,-112.00126215625,5944.91115724819,334977,299.06,2,2,1120.09964555608,664.039044230944
49011125104,"UT33","Utah",49011,2,334977,299.06,41.12434,-111.8669,0,"WALMART PHARMACY 10-2921","534 HARRISVILLE ROAD",41.281659,-111.988342,41.3014568571429,-111.990967,20252.1431667739,244101,576.271,2,2,1120.09964555608,1274.6717063975
49011125104,"UT37","Utah",49011,2,334977,299.06,41.12434,-111.8669,0,"SMITHS PHARMACY #135","1316 NORTH HIGHWAY 89",41.002519,-111.906922,40.9926945,-111.90727325,13970.90205576,334977,299.06,2,2,1120.09964555608,1006.58833577943
49011125104,"UT9","Utah",49011,2,334977,299.06,41.12434,-111.8669,0,"DICKS PHARMACY","84 W Parrish Ln",40.922398,-111.880681,40.8887236428571,-111.889294714286,22509.8547127454,334977,299.06,2,2,1120.09964555608,1371.03083517956
49011125200,"UT23","Utah",49011,2,334977,299.06,41.12913,-111.9919,0,"Kent's Pharmacy Clearfield","580 S State Street",41.104757,-112.018344,41.088698375,-112.00126215625,3504.23559897084,334977,299.06,2,2,1120.09964555608,559.871011403666
49011125200,"UT33","Utah",49011,2,334977,299.06,41.12913,-111.9919,0,"WALMART PHARMACY 10-2921","534 HARRISVILLE ROAD",41.281659,-111.988342,41.3014568571429,-111.990967,16982.0652372479,244101,576.271,2,2,1120.09964555608,1135.10478036533
49011125200,"UT37","Utah",49011,2,334977,299.06,41.12913,-111.9919,0,"SMITHS PHARMACY #135","1316 NORTH HIGHWAY 89",41.002519,-111.906922,40.9926945,-111.90727325,15796.0967361494,334977,299.06,2,2,1120.09964555608,1084.48764473845
49011125200,"UT9","Utah",49011,2,334977,299.06,41.12913,-111.9919,0,"DICKS PHARMACY","84 W Parrish Ln",40.922398,-111.880681,40.8887236428571,-111.889294714286,24836.5187111915,334977,299.06,2,2,1120.09964555608,1470.33285463324
49011125301,"UT23","Utah",49011,2,334977,299.06,41.13892,-112.0301,0,"Winegars Supermarkets","1080 W 300 NORTH",41.11918,-112.046741,41.088698375,-112.00126215625,2603.02317639758,334977,299.06,2,2,1120.09964555608,521.407265208239
49011125301,"UT33","Utah",49011,2,334977,299.06,41.13892,-112.0301,0,"WALMART PHARMACY 10-2921","534 HARRISVILLE ROAD",41.281659,-111.988342,41.3014568571429,-111.990967,16269.9005667379,244101,576.271,2,2,1120.09964555608,1104.70959222796
49011125301,"UT37","Utah",49011,2,334977,299.06,41.13892,-112.0301,0,"SMITHS PHARMACY #135","1316 NORTH HIGHWAY 89",41.002519,-111.906922,40.9926945,-111.90727325,18369.0326971321,334977,299.06,2,2,1120.09964555608,1194.30055155319
49011125303,"UT23","Utah",49011,2,334977,299.06,41.13597,-112.0962,0,"West Point Pharmacy","3024 W 300 N Ste D",41.118453,-112.084266,41.088698375,-112.00126215625,2191.75830359535,334977,299.06,2,2,1120.09964555608,503.85448043704
49011125303,"UT33","Utah",49011,2,334977,299.06,41.13597,-112.0962,0,"WALMART PHARMACY 10-2921","534 HARRISVILLE ROAD",41.281659,-111.988342,41.3014568571429,-111.990967,18563.8275170173,244101,576.271,2,2,1120.09964555608,1202.61439446589
49011125303,"UT37","Utah",49011,2,334977,299.06,41.13597,-112.0962,0,"Mears Health Mart Pharmacy","1050 Shepard Ln Ste 1",41.000908,-111.909136,40.9926945,-111.90727325,21737.7681238199,334977,299.06,2,2,1120.09964555608,1338.07817956422
49011125304,"UT23","Utah",49011,2,334977,299.06,41.1462,-112.0504,0,"WALGREENS #2519","1962 W 1800 N",41.14021,-112.063661,41.088698375,-112.00126215625,1296.32891793794,334977,299.06,2,2,1120.09964555608,465.637554257182
49011125304,"UT33","Utah",49011,2,334977,299.06,41.1462,-112.0504,0,"WALMART PHARMACY 10-2921","534 HARRISVILLE ROAD",41.281659,-111.988342,41.3014568571429,-111.990967,15949.5928789969,244101,576.271,2,2,1120.09964555608,1091.03886011518
49011125304,"UT37","Utah",49011,2,334977,299.06,41.1462,-112.0504,0,"SMITHS PHARMACY #135","1316 NORTH HIGHWAY 89",41.002519,-111.906922,40.9926945,-111.90727325,20019.9424607492,334977,299.06,2,2,1120.09964555608,1264.76138026437
49011125305,"UT23","Utah",49011,2,334977,299.06,41.13259,-112.0501,0,"WALMART PHARMACY 10-5234","1632 NORTH 2000 WEST",41.137487,-112.061676,41.088698375,-112.00126215625,1113.16429156342,334977,299.06,2,2,1120.09964555608,457.820088003517
49011125305,"UT33","Utah",49011,2,334977,299.06,41.13259,-112.0501,0,"WALMART PHARMACY 10-2921","534 HARRISVILLE ROAD",41.281659,-111.988342,41.3014568571429,-111.990967,17381.6514767998,244101,576.271,2,2,1120.09964555608,1152.15912106941
49011125305,"UT37","Utah",49011,2,334977,299.06,41.13259,-112.0501,0,"SMITHS PHARMACY #135","1316 NORTH HIGHWAY 89",41.002519,-111.906922,40.9926945,-111.90727325,18816.2860810819,334977,299.06,2,2,1120.09964555608,1213.38932598017
49011125401,"UT23","Utah",49011,2,334977,299.06,41.1344,-112.1792,0,"West Point Pharmacy","3024 W 300 N Ste D",41.118453,-112.084266,41.088698375,-112.00126215625,8155.99373841915,334977,299.06,2,2,1120.09964555608,758.40804879532
