"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P58621","CVS Pharmacy #00337","8 KOCHER DR","BENNINGTON","VT",52011923,42.895372,-73.202233,"VT1",42.8938131666667,-73.2070198333333,427.212915513196,"bennington",50003,36054,674.997,6
"P58623","Kinney Drugs","115B MONKTON RD","VERGENNES","VT",5491,44.171883,-73.239913,"VT10",44.1697595,-73.2459885,539.6321847355,"addison",50001,36825,766.328,6
"P58667","HANNAFORD FOOD AND DRUG","ROUTE 100 80 FAIRGROUND PLAZA","MORRISVILLE","VT",5661,44.57323,-72.594263,"VT11",44.57144075,-72.59473275,202.63190371772,"lamoille",50015,25191,458.871,8
"P58633","NOTCH PHARMACY","44 MAIN STREET STE 201","RICHFORD","VT",54761144,44.996332,-72.673081,"VT13",44.996332,-72.673081,0,"franklin",50011,48816,634.123,3
"P58637","NORTHFIELD PHARMACY","14 DEPOT SQ","NORTHFIELD","VT",5663,44.148908,-72.656415,"VT15",44.148908,-72.656415,0,"washington",50023,58691,687.045,4
"P58640","Kinney Drugs","40 COURT STREET","MIDDLEBURY","VT",5753,44.010745,-73.164506,"VT17",44.00777475,-73.16096725,435.432233057261,"addison",50001,36825,766.328,6
"P58644","MESSENGER VALLEY PHARMACY","170 GRAFTON RD","TOWNSHEND","VT",5353,43.04852,-72.667329,"VT18",43.04852,-72.667329,0,"windham",50025,43332,785.509,7
"P58648","RITE AID PHARMACY 10309","12 NORTH MAIN STREET","RANDOLPH","VT",50601127,43.923289,-72.665607,"VT19",43.917422,-72.664302,661.440935901926,"orange",50017,28901,687.03,9
"P58649","RITE AID PHARMACY 10308","1823 VERMONT ROUTE 107 SUITE 2","BETHEL","VT",50329107,43.823182,-72.600938,"VT20",43.823182,-72.600938,0,"windsor",50027,55485,969.579,7
"P58661","RITE AID PHARMACY 10310","52 MAIN STREET","WINDSOR","VT",50891308,43.481207,-72.386918,"VT24",43.481207,-72.386918,0,"sullivan",33019,43073,537.544,7
"P58691","Ludlow Pharmacy","57 Pond St","Ludlow","VT",51491083,43.400979,-72.706163,"VT25",43.398932,-72.704973,247.364445805919,"windsor",50027,55485,969.579,7
"P58663","RITE AID PHARMACY 10313","2 CHESTER ROADSUITE 25","SPRINGFIELD","VT",51562953,43.303574,-72.491255,"VT26",43.305501,-72.4920626666667,224.26895727699,"windsor",50027,55485,969.579,7
"P58718","Walgreens #19233","112 ROCKINGHAM STREET","BELLOWS FALLS","VT",51011331,43.136003,-72.447991,"VT28",43.134861,-72.449137,157.568438476803,"windham",50025,43332,785.509,7
"P58676","GREEN MOUNTAIN PHARMACY","5700 RT 100 C 10","LONDONDERRY","VT",5148,43.228241,-72.815316,"VT29",43.228241,-72.815316,0,"windham",50025,43332,785.509,7
"P58613","Swanton Rexall","44 MERCHANTS ROW","SWANTON","VT",5488,44.919077,-73.126035,"VT3",44.919077,-73.126035,0,"franklin",50011,48816,634.123,3
"P58677","OSCO PHARMACY #0649","820 WATERBURY STOWE RD","WATERBURY","VT",56769730,44.347629,-72.743577,"VT30",44.341441,-72.748243,782.617722903986,"washington",50023,58691,687.045,4
"P58678","Kinney Drugs","155 S MAIN STREET","CAMBRIDGE","VT",5444,44.64455,-72.877695,"VT31",44.64455,-72.877695,0,"lamoille",50015,25191,458.871,8
"P58728","Walgreens #18020","4993 MAIN STREET SUITE A","MANCHESTER CENTER","VT",52559768,43.177956,-73.055024,"VT34",43.175229,-73.0595025,473.636390776646,"bennington",50003,36054,674.997,6
"P58685","BRANDON COMMUNITY PHARMACY","420 Grove St","Brandon","VT",57339062,43.804995,-73.099211,"VT36",43.8013085,-73.0937285,602.020072341469,"rutland",50021,59676,929.818,4
"P58696","Kinney Drugs","5091 Main St # 7","WAITSFIELD","VT",56730391,44.184585,-72.836393,"VT39",44.184585,-72.836393,0,"washington",50023,58691,687.045,4
"P58711","MARBLE WORKS PHARMACY","61 Pine St Ste 401","Bristol","VT",54431043,44.13823,-73.084946,"VT40",44.1359565,-73.0813415,383.376568097261,"addison",50001,36825,766.328,6
"P58717","Walgreens #19346","221 MAIN STREET","ENOSBURG FALLS","VT",54506109,44.905798,-72.80661,"VT41",44.905798,-72.80661,0,"franklin",50011,48816,634.123,3
"P58740","Walgreens #17379","107  EAST MAIN STREET","WILMINGTON","VT",53630000,42.864785,-72.861532,"VT43",42.864785,-72.861532,0,"windham",50025,43332,785.509,7
"P58741","Walgreens #17185","82 Vt Route 15 W","HARDWICK","VT",58439454,44.513493,-72.37219,"VT44",44.513493,-72.37219,0,"caledonia",50005,30576,649.02,7
"P58651","PRICE CHOPPER PHARMACY","170 SWANTON RD","SAINT ALBANS","VT",5478,44.835559,-73.084004,"VT5",44.833534,-73.0832412,233.326214706117,"franklin",50011,48816,634.123,3
"P58616","CORNER DRUG CO INC","213 MAPLE ST","WHITE RIVER JUNCTION","VT",5001,43.652298,-72.318556,"VT6",43.652298,-72.318556,0,"windsor",50027,55485,969.579,7
"P58617","WOODSTOCK PHARMACY INC","19 CENTRAL ST","WOODSTOCK","VT",5091,43.625082,-72.518084,"VT7",43.625082,-72.518084,0,"windsor",50027,55485,969.579,7
