"ID","Origin","Destination","Drive_Time"
"C1334_VT1","C1334","VT1",2944.05383387295
"C1335_VT1","C1335","VT1",2960.28855710981
"C1338_VT1","C1338","VT1",4109.69570654771
"C1333_VT10","C1333","VT10",4700.60433440206
"C1336_VT10","C1336","VT10",2974.91906873471
"C1337_VT10","C1337","VT10",5811.38208094758
"C1338_VT10","C1338","VT10",3530.72115288087
"C1339_VT10","C1339","VT10",3679.69781668742
"C1340_VT10","C1340","VT10",2042.31522346019
"C1341_VT10","C1341","VT10",5078.5288699592
"C1333_VT11","C1333","VT11",3958.14220809083
"C1336_VT11","C1336","VT11",2486.9445010563
"C1337_VT11","C1337","VT11",2978.40321514059
"C1338_VT11","C1338","VT11",5553.16138680649
"C1339_VT11","C1339","VT11",2743.34871525649
"C1340_VT11","C1340","VT11",2784.88096330349
"C1341_VT11","C1341","VT11",2811.60516039126
"C1333_VT13","C1333","VT13",5882.77863319363
"C1336_VT13","C1336","VT13",4341.279143032
"C1337_VT13","C1337","VT13",2314.97583279425
"C1339_VT13","C1339","VT13",2237.5021983297
"C1340_VT13","C1340","VT13",3580.14109852298
"C1341_VT13","C1341","VT13",4143.75256320582
"C1333_VT15","C1333","VT15",2752.20951879511
"C1334_VT15","C1334","VT15",6846.47975891688
"C1335_VT15","C1335","VT15",6790.07500571021
"C1336_VT15","C1336","VT15",1004.0850810454
"C1337_VT15","C1337","VT15",4810.20718233765
"C1338_VT15","C1338","VT15",3404.23593501516
"C1339_VT15","C1339","VT15",3997.2399706657
"C1340_VT15","C1340","VT15",2880.95661392332
"C1341_VT15","C1341","VT15",3309.44378624683
"C1333_VT17","C1333","VT17",4362.4674433107
"C1334_VT17","C1334","VT17",6564.41044938015
"C1335_VT17","C1335","VT17",6517.73611307379
"C1336_VT17","C1336","VT17",2919.64074971677
"C1337_VT17","C1337","VT17",6238.09794777931
"C1338_VT17","C1338","VT17",2723.04936330983
"C1339_VT17","C1339","VT17",4411.5225999627
"C1340_VT17","C1340","VT17",2793.14243600586
"C1341_VT17","C1341","VT17",5140.95012403483
"C1333_VT18","C1333","VT18",5694.66735723092
"C1334_VT18","C1334","VT18",1682.8663510994
"C1335_VT18","C1335","VT18",1637.8723413251
"C1336_VT18","C1336","VT18",6231.87509821671
"C1338_VT18","C1338","VT18",3539.58911052972
"C1333_VT19","C1333","VT19",2694.79888161114
"C1334_VT19","C1334","VT19",5866.44890011836
"C1335_VT19","C1335","VT19",5810.47063333352
"C1336_VT19","C1336","VT19",2193.39901980124
"C1337_VT19","C1337","VT19",5918.65043673643
"C1338_VT19","C1338","VT19",2659.64952683982
"C1339_VT19","C1339","VT19",5193.08421343763
"C1340_VT19","C1340","VT19",3877.16275691187
"C1341_VT19","C1341","VT19",4127.97915681314
"C1333_VT20","C1333","VT20",2641.39253090717
"C1334_VT20","C1334","VT20",5294.6460214661
"C1335_VT20","C1335","VT20",5237.72035625059
"C1336_VT20","C1336","VT20",2544.26727202189
"C1337_VT20","C1337","VT20",6228.48353101689
"C1338_VT20","C1338","VT20",2372.65875695298
"C1339_VT20","C1339","VT20",5629.78854717023
"C1340_VT20","C1340","VT20",4310.58897660945
"C1341_VT20","C1341","VT20",4282.81472863691
"C1333_VT24","C1333","VT24",3424.42280718052
"C1334_VT24","C1334","VT24",3728.32389827089
"C1335_VT24","C1335","VT24",3667.86956990085
"C1336_VT24","C1336","VT24",4217.63120677493
"C1338_VT24","C1338","VT24",2809.93213221025
"C1340_VT24","C1340","VT24",6081.41904411789
"C1341_VT24","C1341","VT24",5466.25420675374
"C1333_VT25","C1333","VT25",4281.56854144355
"C1334_VT25","C1334","VT25",3334.30206430955
"C1335_VT25","C1335","VT25",3281.75375205172
"C1336_VT25","C1336","VT25",4576.67632467756
"C1338_VT25","C1338","VT25",2034.32926038152
"C1340_VT25","C1340","VT25",5985.83663116801
"C1341_VT25","C1341","VT25",6211.35852952905
"C1333_VT26","C1333","VT26",4343.00770582235
"C1334_VT26","C1334","VT26",2838.60710472571
"C1335_VT26","C1335","VT26",2779.11092861316
"C1336_VT26","C1336","VT26",5015.92434431717
"C1338_VT26","C1338","VT26",2893.56956772445
"C1340_VT26","C1340","VT26",6678.11352546079
"C1341_VT26","C1341","VT26",6378.76396229979
"C1333_VT28","C1333","VT28",5054.66970263685
"C1334_VT28","C1334","VT28",2087.24368050992
"C1335_VT28","C1335","VT28",2026.28108634972
"C1336_VT28","C1336","VT28",5820.40881221198
"C1338_VT28","C1338","VT28",3569.64377672035
"C1341_VT28","C1341","VT28",7109.77626519226
"C1333_VT29","C1333","VT29",5173.52115328182
"C1334_VT29","C1334","VT29",2673.01135434263
"C1335_VT29","C1335","VT29",2630.96869961595
"C1336_VT29","C1336","VT29",5445.78091867097
"C1338_VT29","C1338","VT29",2562.39608646748
"C1340_VT29","C1340","VT29",6684.21585426976
"C1341_VT29","C1341","VT29",7114.77754140027
"C1333_VT3","C1333","VT3",6331.90563647819
"C1336_VT3","C1336","VT3",4455.14802223186
"C1337_VT3","C1337","VT3",3826.57145417387
"C1338_VT3","C1338","VT3",6867.08612453106
"C1339_VT3","C1339","VT3",1128.27281241743
"C1340_VT3","C1340","VT3",2699.1565194781
"C1341_VT3","C1341","VT3",5087.96692485757
"C1333_VT30","C1333","VT30",3480.80184934291
"C1336_VT30","C1336","VT30",1480.02685926541
"C1337_VT30","C1337","VT30",4103.76812431879
"C1338_VT30","C1338","VT30",4216.69593826404
"C1339_VT30","C1339","VT30",3021.35153207096
"C1340_VT30","C1340","VT30",2138.44997842458
"C1341_VT30","C1341","VT30",3229.43829623522
"C1333_VT31","C1333","VT31",4793.71020624462
"C1336_VT31","C1336","VT31",3080.08399186449
"C1337_VT31","C1337","VT31",3456.61467776631
"C1338_VT31","C1338","VT31",5724.45484631337
"C1339_VT31","C1339","VT31",1777.82401308803
"C1340_VT31","C1340","VT31",2073.44513024295
"C1341_VT31","C1341","VT31",3827.67683534973
"C1333_VT34","C1333","VT34",5855.6254488617
