"ID","Origin","Destination","Drive_Time"
"VT10_VT1","VT10","VT1",6734.9038041099
"VT15_VT1","VT15","VT1",6911.48793030652
"VT17_VT1","VT17","VT1",5969.52728781182
"VT18_VT1","VT18","VT1",2708.0510103026
"VT19_VT1","VT19","VT1",6020.02670809101
"VT20_VT1","VT20","VT1",5584.03407971839
"VT24_VT1","VT24","VT1",4674.51334956393
"VT25_VT1","VT25","VT1",3665.29902952173
"VT26_VT1","VT26","VT1",3848.70987356607
"VT28_VT1","VT28","VT1",3569.94131536636
"VT29_VT1","VT29","VT1",2786.10879943682
"VT34_VT1","VT34","VT1",2105.28427757941
"VT36_VT1","VT36","VT1",5004.13684498191
"VT39_VT1","VT39","VT1",6919.46898760328
"VT40_VT1","VT40","VT1",6587.434987293
"VT43_VT1","VT43","VT1",1906.28600112443
"VT6_VT1","VT6","VT1",5430.9019722017
"VT7_VT1","VT7","VT1",4909.03709698576
"VT1_VT10","VT1","VT10",6734.9038041099
"VT11_VT10","VT11","VT10",3659.87085385064
"VT13_VT10","VT13","VT10",5028.15857857716
"VT15_VT10","VT15","VT10",2657.83303660202
"VT17_VT10","VT17","VT10",1476.77477465582
"VT18_VT10","VT18","VT10",6400.31034605549
"VT19_VT10","VT19","VT10",3086.71305523261
"VT20_VT10","VT20","VT10",3452.26504050281
"VT24_VT10","VT24","VT10",5104.2168200155
"VT25_VT10","VT25","VT10",4805.7732312847
"VT26_VT10","VT26","VT10",5571.47597110733
"VT28_VT10","VT28","VT10",6335.4856211195
"VT29_VT10","VT29","VT10",5425.84761862327
"VT3_VT10","VT3","VT10",4237.61756704554
"VT30_VT10","VT30","VT10",2550.0428217921
"VT31_VT10","VT31","VT10",3314.20139028133
"VT34_VT10","VT34","VT10",5433.47040767494
"VT36_VT10","VT36","VT10",2476.0456792831
"VT39_VT10","VT39","VT10",2042.3108423054
"VT40_VT10","VT40","VT10",1221.0100519839
"VT41_VT10","VT41","VT10",4449.80498137348
"VT43_VT10","VT43","VT10",7056.76618805764
"VT44_VT10","VT44","VT10",4077.42487777855
"VT5_VT10","VT5","VT10",3863.88308644842
"VT6_VT10","VT6","VT10",4715.90912630269
"VT7_VT10","VT7","VT10",4296.57871854234
"VT10_VT11","VT10","VT11",3659.87085385064
"VT13_VT11","VT13","VT11",2779.91386690356
