"GEOID","Cluster","State","County.Code","Tract_RUC","Tract_Population","Tract_Land","Tract_Lat","Tract_Long","Tract_methadone_unserved","Name","Address","Pharm_Lat","Pharm_Long","Cluster_centroid_Latitude","Cluster_centroid_Longitude","Shortest_distance","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC","Max_RUC","Max_PopD","Drive_Time"
50001960100,"VT10","Vermont",50001,6,36825,766.328,44.22999,-73.06665,0,"Kinney Drugs","115B MONKTON RD",44.171883,-73.239913,44.1697595,-73.2459885,15265.4137035319,36825,766.328,6,6,48.0538359553612,1320.63080608692
50001960100,"VT39","Vermont",50001,6,36825,766.328,44.22999,-73.06665,0,"Kinney Drugs","5091 Main St # 7",44.184585,-72.836393,44.184585,-72.836393,19056.1839188449,58691,687.045,4,6,85.4252632651428,1479.35903783699
50001960100,"VT40","Vermont",50001,6,36825,766.328,44.22999,-73.06665,0,"MARBLE WORKS PHARMACY","61 Pine St Ste 401",44.13823,-73.084946,44.1359565,-73.0813415,10318.563447023,36825,766.328,6,6,48.0538359553612,1109.49923713912
50001960200,"VT10","Vermont",50001,6,36825,766.328,44.20313,-73.2792,0,"MARBLE WORKS PHARMACY","187 MAIN ST",44.167636,-73.252064,44.1697595,-73.2459885,4505.99688851606,36825,766.328,6,6,48.0538359553612,861.418896422043
50001960200,"VT40","Vermont",50001,6,36825,766.328,44.20313,-73.2792,0,"MARBLE WORKS PHARMACY","61 Pine St Ste 401",44.13823,-73.084946,44.1359565,-73.0813415,17110.4284425217,36825,766.328,6,6,48.0538359553612,1399.376035147
50001960300,"VT10","Vermont",50001,6,36825,766.328,44.16329,-73.24854,0,"MARBLE WORKS PHARMACY","187 MAIN ST",44.167636,-73.252064,44.1697595,-73.2459885,559.682031995851,36825,766.328,6,6,48.0538359553612,692.99017834576
50001960300,"VT17","Vermont",50001,6,36825,766.328,44.16329,-73.24854,0,"MARBLE WORKS PHARMACY","99 MAPLE ST",44.015636,-73.169657,44.00777475,-73.16096725,17605.3214061952,36825,766.328,6,6,48.0538359553612,1420.49806683659
50001960300,"VT40","Vermont",50001,6,36825,766.328,44.16329,-73.24854,0,"MARBLE WORKS PHARMACY","61 Pine St Ste 401",44.13823,-73.084946,44.1359565,-73.0813415,13361.1775153791,36825,766.328,6,6,48.0538359553612,1239.35800557656
50001960400,"VT10","Vermont",50001,6,36825,766.328,44.08706,-73.26716,13.50566281,"MARBLE WORKS PHARMACY","187 MAIN ST",44.167636,-73.252064,44.1697595,-73.2459885,9050.42293999122,36825,766.328,6,6,48.0538359553612,1055.375000299
50001960400,"VT17","Vermont",50001,6,36825,766.328,44.08706,-73.26716,13.50566281,"MARBLE WORKS PHARMACY","99 MAPLE ST",44.015636,-73.169657,44.00777475,-73.16096725,11138.7258985107,36825,766.328,6,6,48.0538359553612,1144.50377056861
