"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P57146","CVS Pharmacy #06321","1610 MAIN STREET","CLIFTON FORGE","VA",24422,37.816017,-79.810195,"VA1",37.816017,-79.810195,0,"alleghany",51005,15489,446.569,6
"P57292","CVS Pharmacy #00074","2823 W MAIN ST","WAYNESBORO","VA",22980,38.082578,-78.928692,"VA10",38.076117,-78.93240133,789.2695016,"augusta",51015,74390,967.074,3
"P58492","Walgrens #17546","101 LAUREL AVENUE","COEBURN","VA",242303529,36.942882,-82.470786,"VA100",36.94252467,-82.47464867,345.9584063,"wise",51195,39539,403.44,7
"P57757","WALMART PHARMACY 10-2805","303 MARKET DRIVE","EMPORIA","VA",23847,36.707072,-77.545045,"VA101",36.7028465,-77.5435255,489.5388864,"greensville",51081,11606,295.226,6
"P57354","The Medicine Shoppe Pharmacy","9893 GENERAL PULLER HWY","HARTFIELD","VA",23071,37.541289,-76.4152,"VA102",37.541289,-76.4152,0,"middlesex",51119,10710,130.331,8
"P57929","WALGREENS #9046","1460 LEE HWY","BRISTOL","VA",242012865,36.614631,-82.173155,"VA103",36.61684927,-82.17555209,326.8822468,"washington",51191,54457,561.162,2
"P58014","WALGREENS #10700","1102 N MAIN ST","MARION","VA",243544122,36.843322,-81.501807,"VA104",36.8443482,-81.5014232,119.2430939,"smyth",51173,31298,451.352,7
"P57961","WALMART PHARMACY 10-3770","19265 JEB STUART HIGHWAY","STUART","VA",24171,36.638923,-80.244916,"VA105",36.63542425,-80.2455325,393.3530254,"patrick",51141,17958,482.954,8
"P57623","The Medicine Shoppe Pharmacy","1230 MAIN STREET","ALTAVISTA","VA",24517,37.119307,-79.275932,"VA106",37.126464,-79.27517833,799.5170641,"pittsylvania",51143,61970,969.001,4
"P57374","CVS Pharmacy #07518","221 W RESERVOIR RD","WOODSTOCK","VA",22664,38.868972,-78.522882,"VA107",38.86862633,-78.52394,99.44500093,"shenandoah",51171,42854,508.073,6
"P58105","WALMART PHARMACY 10-4476","14501 Hancock Village St","Chesterfield","VA",23832,37.400792,-77.673069,"VA108",37.40469071,-77.67565686,490.6412994,"chesterfield",51041,335594,423.558,1
"P57924","Food Lion Pharmacy","1013 VIRGINIA AVE","CLARKSVILLE","VA",23927,36.618438,-78.569274,"VA109",36.61151,-78.57314567,845.2558615,"mecklenburg",51117,30959,625.311,7
"P57916","Food City Pharmacy #891","603 WOOD AVE E","BIG STONE GAP","VA",24219,36.869821,-82.772712,"VA110",36.8766465,-82.76816683,860.8945994,"wise",51195,39539,403.44,7
"P57388","ERNIES DRUG INC","16408 WISE ST","SAINT PAUL","VA",242830548,36.904629,-82.315074,"VA111",36.89490867,-82.31058767,1153.41285,"wise",51195,39539,403.44,7
"P58132","Commonwealth Pharmacy Chatham","21 S.Main St.","Chatham","VA",24531,36.82557,-79.398178,"VA112",36.8071835,-79.3957785,2057.915973,"pittsylvania",51143,61970,969.001,4
