"ID","Origin","Destination","Drive_Time"
"C1344_VA1","C1344","VA1",5846.9619306091
"C1346_VA1","C1346","VA1",6517.99202861272
"C1352_VA1","C1352","VA1",5081.31202715872
"C1355_VA1","C1355","VA1",3841.51030531935
"C1363_VA1","C1363","VA1",5783.9910214934
"C1370_VA1","C1370","VA1",3162.08263624063
"C1371_VA1","C1371","VA1",4104.18694475856
"C1344_VA10","C1344","VA10",2325.65554706226
"C1349_VA10","C1349","VA10",6123.35445745649
"C1352_VA10","C1352","VA10",2105.94578420498
"C1354_VA10","C1354","VA10",6280.57163004297
"C1355_VA10","C1355","VA10",3978.02272201775
"C1356_VA10","C1356","VA10",6717.79195226069
"C1364_VA10","C1364","VA10",6754.75503224135
"C1365_VA10","C1365","VA10",6180.2412591107
"C1366_VA10","C1366","VA10",6660.35439122274
"C1367_VA10","C1367","VA10",6560.95132325605
"C1368_VA10","C1368","VA10",6314.99882985656
"C1369_VA10","C1369","VA10",6304.30133714997
"C1370_VA10","C1370","VA10",5933.57223992026
"C1371_VA10","C1371","VA10",1165.70571234378
"C1374_VA10","C1374","VA10",6340.38131874864
"C1375_VA10","C1375","VA10",6387.62426278139
"C1350_VA100","C1350","VA100",6813.05264897401
"C1351_VA100","C1351","VA100",6784.80775596831
"C1345_VA101","C1345","VA101",4662.74055568752
"C1348_VA101","C1348","VA101",3059.43866210145
"C1353_VA101","C1353","VA101",5570.74466735461
"C1354_VA101","C1354","VA101",4827.05658530206
"C1357_VA101","C1357","VA101",4887.30871017222
"C1358_VA101","C1358","VA101",4890.58273567047
"C1359_VA101","C1359","VA101",4903.35788697678
"C1360_VA101","C1360","VA101",5295.38951824021
"C1361_VA101","C1361","VA101",2962.37402853046
"C1362_VA101","C1362","VA101",4989.23491887074
"C1364_VA101","C1364","VA101",4282.97539074314
"C1365_VA101","C1365","VA101",4407.45280487339
"C1366_VA101","C1366","VA101",4502.86636944646
"C1367_VA101","C1367","VA101",4545.73608748501
"C1368_VA101","C1368","VA101",4715.69639644258
"C1369_VA101","C1369","VA101",4731.54115460759
"C1372_VA101","C1372","VA101",6350.09236462824
"C1373_VA101","C1373","VA101",4850.08961043588
"C1342_VA102","C1342","VA102",6994.11594656553
"C1345_VA102","C1345","VA102",3589.37538994935
"C1348_VA102","C1348","VA102",5265.06925789158
"C1349_VA102","C1349","VA102",5953.71592540663
"C1353_VA102","C1353","VA102",1799.62794490609
"C1354_VA102","C1354","VA102",4710.99826381463
"C1357_VA102","C1357","VA102",3213.0836773716
"C1358_VA102","C1358","VA102",2477.66899589003
"C1359_VA102","C1359","VA102",3047.96928637507
"C1360_VA102","C1360","VA102",3436.63716087491
"C1361_VA102","C1361","VA102",4721.48164738126
"C1362_VA102","C1362","VA102",3759.76729746826
"C1364_VA102","C1364","VA102",4583.65521717382
"C1365_VA102","C1365","VA102",5151.5492451906
"C1366_VA102","C1366","VA102",4442.05649327478
"C1367_VA102","C1367","VA102",4526.74257130747
"C1368_VA102","C1368","VA102",4716.30390447742
"C1369_VA102","C1369","VA102",4721.47424082551
"C1372_VA102","C1372","VA102",4237.8907229999
"C1373_VA102","C1373","VA102",2309.71397686802
"C1350_VA103","C1350","VA103",5541.18624721942
"C1351_VA103","C1351","VA103",5537.40536937449
"C1363_VA103","C1363","VA103",6282.14511722511
"C1350_VA104","C1350","VA104",3147.55035143338
"C1351_VA104","C1351","VA104",3105.17155349842
"C1363_VA104","C1363","VA104",3677.98541943838
"C1370_VA104","C1370","VA104",6849.09811237407
"C1346_VA105","C1346","VA105",3496.42626465764
"C1350_VA105","C1350","VA105",3407.27222216949
"C1351_VA105","C1351","VA105",3288.51353732104
"C1355_VA105","C1355","VA105",6155.41341959913
"C1363_VA105","C1363","VA105",3517.43602747022
"C1370_VA105","C1370","VA105",4039.46923071159
"C1344_VA106","C1344","VA106",5903.10637784278
"C1346_VA106","C1346","VA106",3202.77622919724
"C1352_VA106","C1352","VA106",6879.47495852999
"C1355_VA106","C1355","VA106",1897.52444279775
"C1363_VA106","C1363","VA106",6223.74714552528
"C1365_VA106","C1365","VA106",7125.49154646726
"C1370_VA106","C1370","VA106",3366.01304327112
"C1371_VA106","C1371","VA106",5758.93691831061
"C1342_VA107","C1342","VA107",5823.66400924363
"C1343_VA107","C1343","VA107",5380.69298403666
"C1344_VA107","C1344","VA107",4646.40951881502
"C1347_VA107","C1347","VA107",5230.99410451855
"C1349_VA107","C1349","VA107",5524.75543629504
"C1352_VA107","C1352","VA107",3255.68115981312
"C1356_VA107","C1356","VA107",4428.64680572269
"C1371_VA107","C1371","VA107",4389.25702455321
"C1374_VA107","C1374","VA107",2554.06002402526
"C1375_VA107","C1375","VA107",2583.32170093645
