"ID","Origin","Destination","Drive_Time"
"VA10_VA1","VA10","VA1",4203.78930791552
"VA105_VA1","VA105","VA1",6584.75196293599
"VA106_VA1","VA106","VA1",4542.83140954189
"VA112_VA1","VA112","VA1",5624.3267073171
"VA115_VA1","VA115","VA1",7014.98189166406
"VA120_VA1","VA120","VA1",4524.42536707838
"VA122_VA1","VA122","VA1",3720.70107528528
"VA133_VA1","VA133","VA1",6463.34505624621
"VA135_VA1","VA135","VA1",3989.3218955026
"VA137_VA1","VA137","VA1",6558.67829465785
"VA146_VA1","VA146","VA1",3757.65851057711
"VA148_VA1","VA148","VA1",3798.60011432415
"VA149_VA1","VA149","VA1",3742.69749823151
"VA150_VA1","VA150","VA1",4766.55270060846
"VA151_VA1","VA151","VA1",4990.02495840841
"VA154_VA1","VA154","VA1",4003.10307074382
"VA156_VA1","VA156","VA1",2539.66915354958
"VA163_VA1","VA163","VA1",4999.83103479928
"VA164_VA1","VA164","VA1",2120.91502934641
"VA167_VA1","VA167","VA1",4962.19956049672
"VA174_VA1","VA174","VA1",6766.06157475599
"VA175_VA1","VA175","VA1",6794.94248048902
"VA176_VA1","VA176","VA1",6401.35760717461
"VA177_VA1","VA177","VA1",4923.61313787802
"VA182_VA1","VA182","VA1",5936.95999523768
"VA186_VA1","VA186","VA1",5605.49737953587
"VA189_VA1","VA189","VA1",2911.44380492334
"VA192_VA1","VA192","VA1",3707.37966324312
"VA194_VA1","VA194","VA1",6946.70400548399
"VA196_VA1","VA196","VA1",5349.72898187278
"VA197_VA1","VA197","VA1",6912.14639490656
"VA200_VA1","VA200","VA1",4202.69149560337
"VA202_VA1","VA202","VA1",7003.76125251384
"VA27_VA1","VA27","VA1",4494.63811096047
"VA29_VA1","VA29","VA1",4973.31956554241
"VA36_VA1","VA36","VA1",5993.5508102121
"VA37_VA1","VA37","VA1",4899.40663014087
"VA39_VA1","VA39","VA1",5541.7168457872
"VA4_VA1","VA4","VA1",1363.03334125614
"VA41_VA1","VA41","VA1",5734.8104009301
"VA43_VA1","VA43","VA1",6762.36756475286
"VA44_VA1","VA44","VA1",6122.18303869227
"VA45_VA1","VA45","VA1",5553.09291722586
"VA48_VA1","VA48","VA1",5923.40751316921
"VA49_VA1","VA49","VA1",6467.07020069694
"VA5_VA1","VA5","VA1",2085.46474308931
"VA50_VA1","VA50","VA1",5121.77234515829
"VA51_VA1","VA51","VA1",6815.28677335751
"VA55_VA1","VA55","VA1",1632.5138946318
