"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P58749","Tallmans Pharmacy","4 W MAIN ST","WALLA WALLA","WA",993622816,46.066718,-118.339839,"WA7",46.05893167,-118.3403112,867.5377833,"walla walla",53071,59862,1270.034,3
"P58758","Brewster Marketplace Pharmacy","907 US-97","BREWSTER","WA",98812,48.045779,-119.691798,"WA14",48.045779,-119.691798,0,"douglas",53017,40585,1819.262,3
"P58760","DOANE'S VALLEY PHARMACY","119 COTTAGE AVE","CASHMERE","WA",98815,47.522209,-120.468866,"WA17",47.522209,-120.468866,0,"chelan",53007,75138,2921.178,3
"P58762","LAKE CHELAN PHARMACY INC","223 E Johnson Ave","CHELAN","WA",98816,47.841101,-120.015322,"WA19",47.841904,-120.0076507,580.0986711,"chelan",53007,75138,2921.178,3
"P58763","VALLEY DRUG CO","102 E MAIN AVE","CHEWELAH","WA",99109,48.276413,-117.716186,"WA20",48.27770367,-117.7145477,188.083914,"stevens",53065,43858,2477.396,2
"P58766","TICK KLOCK DRUGS LLC","109 S MAIN","COLFAX","WA",99111,46.879965,-117.364576,"WA22",46.879965,-117.364576,0,"whitman",53075,47794,2159.261,4
"P58767","Darrington Pharmacy","1200 Seeman St","DARRINGTON","WA",98241,48.255513,-121.60992,"WA23",48.255513,-121.60992,0,"snohomish",53061,771904,2086.52,1
"P58769","RAYS PHARMACY","68 N Beach Rd","EASTSOUND","WA",98245,48.694851,-122.905986,"WA25",48.694851,-122.905986,0,"san juan",53055,446.906,16221,9
"P58778","LONG BEACH PHARMACY","101 BOLSTAD AVE","LONG BEACH","WA",98631,46.351146,-124.053821,"WA28",46.3299195,-124.049143,2390.116116,"pacific",53049,20940,933.609,7
"P58782","VALU DRUG","201 PIONEER AVE E","MONTESANO","WA",98563,46.979653,-123.598367,"WA34",46.979653,-123.598367,0,"grays harbor",53027,71454,1901.46,4
