"ID","Origin","Destination","Drive_Time"
"C1378_WA17","C1378","WA17",6666.79078282058
"C1379_WA17","C1379","WA17",6163.13026363776
"C1380_WA17","C1380","WA17",5883.40615729209
"C1381_WA17","C1381","WA17",6228.79626436238
"C1382_WA17","C1382","WA17",6486.00782000974
"C1385_WA17","C1385","WA17",6141.91511285092
"C1386_WA17","C1386","WA17",7171.66156044623
"C1389_WA17","C1389","WA17",6150.58923943894
"C1390_WA17","C1390","WA17",6365.53199745279
"C1391_WA17","C1391","WA17",6409.92651296929
"C1392_WA17","C1392","WA17",6423.90657534088
"C1393_WA17","C1393","WA17",6423.31508818746
"C1394_WA17","C1394","WA17",6568.58977917009
"C1398_WA17","C1398","WA17",6984.73990684252
"C1401_WA17","C1401","WA17",4946.60451781217
"C1401_WA19","C1401","WA19",6672.38783415179
"C1395_WA20","C1395","WA20",3533.73561126574
"C1396_WA20","C1396","WA20",3584.51519014547
"C1395_WA22","C1395","WA22",4291.16270045765
"C1396_WA22","C1396","WA22",4326.18089910937
"C1377_WA23","C1377","WA23",3690.12812747371
"C1378_WA23","C1378","WA23",2222.34629852487
"C1379_WA23","C1379","WA23",5159.24785254631
"C1380_WA23","C1380","WA23",3844.04927550366
"C1381_WA23","C1381","WA23",3315.80316418166
"C1382_WA23","C1382","WA23",3088.68505910815
"C1385_WA23","C1385","WA23",4873.56712165304
"C1386_WA23","C1386","WA23",6266.65062637499
"C1388_WA23","C1388","WA23",6422.42001120616
"C1389_WA23","C1389","WA23",4729.80028077605
"C1390_WA23","C1390","WA23",4350.01728464103
"C1391_WA23","C1391","WA23",4275.12627014236
"C1392_WA23","C1392","WA23",4187.9654020007
"C1393_WA23","C1393","WA23",4188.94898935577
"C1394_WA23","C1394","WA23",3727.34116966927
"C1397_WA23","C1397","WA23",6569.1003700587
"C1398_WA23","C1398","WA23",5977.74752411825
"C1377_WA25","C1377","WA25",2331.98485438472
"C1378_WA25","C1378","WA25",4273.12525087418
"C1380_WA25","C1380","WA25",6341.89484592458
"C1381_WA25","C1381","WA25",5572.92447758746
"C1382_WA25","C1382","WA25",5092.17461528157
"C1388_WA25","C1388","WA25",4032.46862759822
"C1389_WA25","C1389","WA25",7042.0556667395
"C1390_WA25","C1390","WA25",6422.18684954361
"C1391_WA25","C1391","WA25",6296.45774888762
"C1392_WA25","C1392","WA25",6186.64943398953
"C1393_WA25","C1393","WA25",6188.31208609813
"C1394_WA25","C1394","WA25",5542.66942617001
"C1376_WA28","C1376","WA28",3793.45350671425
"C1383_WA28","C1383","WA28",3740.83205093038
"C1384_WA28","C1384","WA28",4586.11397506881
"C1386_WA28","C1386","WA28",7122.57202704102
"C1387_WA28","C1387","WA28",5852.20353865774
"C1397_WA28","C1397","WA28",6761.14621729158
"C1399_WA28","C1399","WA28",6506.87581395251
"C1400_WA28","C1400","WA28",6208.97707211508
"C1376_WA34","C1376","WA34",1286.12648360998
"C1379_WA34","C1379","WA34",5267.13776958061
"C1380_WA34","C1380","WA34",6075.15230968386
"C1381_WA34","C1381","WA34",6484.07902591806
"C1382_WA34","C1382","WA34",6694.74810422652
"C1383_WA34","C1383","WA34",1506.37942951705
"C1384_WA34","C1384","WA34",5140.08614376184
"C1385_WA34","C1385","WA34",5368.2414879042
"C1386_WA34","C1386","WA34",4294.52477511015
"C1387_WA34","C1387","WA34",3047.45057101168
"C1388_WA34","C1388","WA34",6030.74900573402
"C1389_WA34","C1389","WA34",5418.7926210861
"C1390_WA34","C1390","WA34",5502.1649617244
"C1391_WA34","C1391","WA34",5534.64546819164
"C1392_WA34","C1392","WA34",5593.14968031251
"C1393_WA34","C1393","WA34",5592.62842164647
"C1394_WA34","C1394","WA34",5952.4481136253
"C1397_WA34","C1397","WA34",3937.50102328762
"C1398_WA34","C1398","WA34",4485.00807470779
"C1376_WA35","C1376","WA35",5981.35548394686
"C1379_WA35","C1379","WA35",4143.52004679627
"C1380_WA35","C1380","WA35",5515.55229862682
"C1381_WA35","C1381","WA35",6386.11036945676
"C1382_WA35","C1382","WA35",6850.73141245715
"C1383_WA35","C1383","WA35",6186.85562548226
"C1384_WA35","C1384","WA35",3515.29536790749
"C1385_WA35","C1385","WA35",4468.19824729521
"C1386_WA35","C1386","WA35",3471.13123404922
"C1387_WA35","C1387","WA35",3481.66830868588
"C1389_WA35","C1389","WA35",4640.44893368546
"C1390_WA35","C1390","WA35",5216.99107030792
"C1391_WA35","C1391","WA35",5337.21270166773
"C1392_WA35","C1392","WA35",5450.90565403663
"C1393_WA35","C1393","WA35",5449.30057128317
"C1394_WA35","C1394","WA35",6114.20762909933
"C1397_WA35","C1397","WA35",3410.2586060235
"C1398_WA35","C1398","WA35",3699.77880181614
"C1399_WA35","C1399","WA35",5067.83871995507
"C1400_WA35","C1400","WA35",4833.11085287979
"C1401_WA35","C1401","WA35",6313.3327605657
"C1376_WA39","C1376","WA39",3618.61333237365
