"ID","Origin","Destination","Drive_Time"
"WA22_WA7","WA22","WA7",5594.8390818435
"WA42_WA7","WA42","WA7",3859.78979137707
"WA45_WA7","WA45","WA7",5270.87109013577
"WA48_WA7","WA48","WA7",5707.2798397625
"WA72_WA7","WA72","WA7",7198.06515463887
"WA1_WA7","WA1","WA7",3784.49785041046
"WA93_WA7","WA93","WA7",2224.11276998551
"WA110_WA7","WA110","WA7",3021.13632799833
"WA79_WA7","WA79","WA7",6081.11650389418
"WA119_WA7","WA119","WA7",6047.6199700809
"WA106_WA7","WA106","WA7",6514.53364569108
"WA129_WA7","WA129","WA7",5173.51451309164
"WA136_WA7","WA136","WA7",3030.70489003207
"WA137_WA7","WA137","WA7",4425.60958408177
"WA90_WA7","WA90","WA7",5496.94649686941
"WA21_WA7","WA21","WA7",5119.68670662083
"WA4_WA7","WA4","WA7",3176.80746059615
"WA145_WA7","WA145","WA7",6662.44247388083
"WA150_WA7","WA150","WA7",4572.37767372199
"WA17_WA14","WA17","WA14",4055.76908113579
"WA19_WA14","WA19","WA14",1958.9839712016
"WA20_WA14","WA20","WA14",6899.03119646635
"WA23_WA14","WA23","WA14",6675.56036224509
"WA40_WA14","WA40","WA14",4988.39237952349
"WA47_WA14","WA47","WA14",4953.90314170575
"WA48_WA14","WA48","WA14",6730.53741461607
"WA56_WA14","WA56","WA14",2695.37921568709
"WA76_WA14","WA76","WA14",6359.34467863459
"WA77_WA14","WA77","WA14",6670.06682661636
"WA113_WA14","WA113","WA14",4149.95235071123
"WA116_WA14","WA116","WA14",7118.76955185
"WA121_WA14","WA121","WA14",7199.01229075587
"WA127_WA14","WA127","WA14",4256.34246032813
"WA106_WA14","WA106","WA14",5188.82218015728
"WA129_WA14","WA129","WA14",6709.25033773062
"WA130_WA14","WA130","WA14",912.321688429757
"WA96_WA14","WA96","WA14",2533.67352451367
"WA144_WA14","WA144","WA14",6299.7268818878
"WA62_WA14","WA62","WA14",4109.31389751509
"WA145_WA14","WA145","WA14",6880.46801268332
"WA24_WA14","WA24","WA14",5998.14627920577
"WA94_WA14","WA94","WA14",6323.53945740416
"WA149_WA14","WA149","WA14",4544.01411517037
"WA147_WA14","WA147","WA14",3901.05129075292
"WA14_WA17","WA14","WA17",4055.76908113579
"WA19_WA17","WA19","WA17",2640.36249512578
"WA23_WA17","WA23","WA17",5549.69079207459
"WA45_WA17","WA45","WA17",7181.51684424595
"WA12_WA17","WA12","WA17",6509.56337756848
"WA56_WA17","WA56","WA17",4815.77877371612
"WA58_WA17","WA58","WA17",6868.41867517773
"WA72_WA17","WA72","WA17",6013.52239695618
"WA82_WA17","WA82","WA17",5988.85926662038
"WA84_WA17","WA84","WA17",6854.82702425043
"WA6_WA17","WA6","WA17",5942.21800013745
"WA2_WA17","WA2","WA17",6482.71487389906
"WA41_WA17","WA41","WA17",6703.9298733873
"WA81_WA17","WA81","WA17",6482.41760543403
"WA15_WA17","WA15","WA17",6061.4258629318
"WA102_WA17","WA102","WA17",7084.2207894865
"WA33_WA17","WA33","WA17",5596.35043197006
"WA79_WA17","WA79","WA17",6484.48424288099
"WA113_WA17","WA113","WA17",3723.95439722675
"WA114_WA17","WA114","WA17",7127.45249227363
"WA116_WA17","WA116","WA17",4928.09423741161
"WA16_WA17","WA16","WA17",6456.57487853759
"WA127_WA17","WA127","WA17",1210.79919159195
"WA106_WA17","WA106","WA17",4920.39639784161
"WA54_WA17","WA54","WA17",7156.26848688353
"WA129_WA17","WA129","WA17",6029.05779711825
"WA130_WA17","WA130","WA17",4043.28318872025
"WA66_WA17","WA66","WA17",6448.20573484452
"WA133_WA17","WA133","WA17",7069.47325790232
"WA27_WA17","WA27","WA17",7172.19419192831
"WA10_WA17","WA10","WA17",6719.83505474611
"WA96_WA17","WA96","WA17",5913.02935512856
"WA11_WA17","WA11","WA17",6469.39880952743
"WA118_WA17","WA118","WA17",4696.57558965269
"WA49_WA17","WA49","WA17",6502.24461823736
"WA86_WA17","WA86","WA17",6061.869667048
"WA144_WA17","WA144","WA17",2786.49967735632
"WA62_WA17","WA62","WA17",1307.60444571661
"WA145_WA17","WA145","WA17",4777.89689525092
"WA94_WA17","WA94","WA17",3150.32214852845
"WA149_WA17","WA149","WA17",2989.73045456178
"WA147_WA17","WA147","WA17",7168.479996957
"WA14_WA19","WA14","WA19",1958.9839712016
"WA17_WA19","WA17","WA19",2640.36249512578
"WA23_WA19","WA23","WA19",5948.29635703543
"WA40_WA19","WA40","WA19",6195.82678809111
"WA47_WA19","WA47","WA19",6369.83153843797
"WA48_WA19","WA48","WA19",6920.90130033872
"WA56_WA19","WA56","WA19",3170.36040494665
"WA82_WA19","WA82","WA19",6829.22107615873
"WA84_WA19","WA84","WA19",6958.40613547631
"WA33_WA19","WA33","WA19",6767.85924349184
"WA113_WA19","WA113","WA19",3545.82653433501
"WA116_WA19","WA116","WA19",6047.09832696609
"WA127_WA19","WA127","WA19",2865.5226251284
"WA106_WA19","WA106","WA19",4773.60323909857
"WA129_WA19","WA129","WA19",6218.41731547101
"WA130_WA19","WA130","WA19",1965.32645462156
"WA96_WA19","WA96","WA19",3850.99974581257
"WA118_WA19","WA118","WA19",6366.99696253187
"WA86_WA19","WA86","WA19",7158.9299464036
"WA144_WA19","WA144","WA19",4883.63623541597
"WA62_WA19","WA62","WA19",2760.70529774021
"WA145_WA19","WA145","WA19",5882.67742051794
"WA24_WA19","WA24","WA19",6765.55684080103
"WA94_WA19","WA94","WA19",4996.98372356976
