"GEOID","Cluster","State","County.Code","Tract_RUC","Tract_Population","Tract_Land","Tract_Lat","Tract_Long","Tract_methadone_unserved","Name","Address","Pharm_Lat","Pharm_Long","Cluster_centroid_Latitude","Cluster_centroid_Longitude","Shortest_distance","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC","Max_RUC","Max_PopD","Drive_Time"
53001950100,"WA48","Washington",53001,6,19261,1924.989,47.15051,-118.3983,4.478129536,"RITZVILLE DRUG COMPANY","209 W MAIN AVE",47.12675,-118.380707,47.12675,-118.380707,2961.50058860506,19261,1924.989,6,6,10.0057714615512,798.617072265819
53001950300,"WA129","Washington",53001,6,19261,1924.989,46.83289,-119.1181,12.74085647,"WALMART PHARMACY 10-3217","1860 E MAIN ST",46.826189,-119.16344,46.826189,-119.16344,3532.81786730252,19261,1924.989,6,6,10.0057714615512,823.000893720627
53001950400,"WA129","Washington",53001,6,19261,1924.989,46.83237,-119.1666,6.148572528,"WALMART PHARMACY 10-3217","1860 E MAIN ST",46.826189,-119.16344,46.826189,-119.16344,728.94266862223,19261,1924.989,6,6,10.0057714615512,703.331500240952
53001950500,"WA129","Washington",53001,6,19261,1924.989,46.81057,-119.1599,9.39437749,"WALMART PHARMACY 10-3217","1860 E MAIN ST",46.826189,-119.16344,46.826189,-119.16344,1759.48727755304,19261,1924.989,6,6,10.0057714615512,747.315144150119
53003960200,"WA21","Washington",53003,3,22259,636.077,46.34427,-117.3013,9.36827682,"OWL TRI-STATE PHARMACY","1275 HIGHLAND AVE",46.403479,-117.057583,46.416714,-117.046275166667,19845.1539339811,22259,636.077,3,3,34.9941909548687,1388.94409583738
53003960300,"WA21","Washington",53003,3,22259,636.077,46.41903,-117.0501,6.579233609,"WALGREENS #16025","425 Bridge St",46.419807,-117.043248,46.416714,-117.046275166667,532.894229098904,22259,636.077,3,3,34.9941909548687,564.696851633009
53003960400,"WA21","Washington",53003,3,22259,636.077,46.41271,-117.0673,4.094076795,"OWL TRI-STATE PHARMACY","1275 HIGHLAND AVE",46.403479,-117.057583,46.416714,-117.046275166667,1269.73473542707,22259,636.077,3,3,34.9941909548687,596.145204443095
53003960500,"WA21","Washington",53003,3,22259,636.077,46.40614,-117.05,6.892441671,"OWL TRI-STATE PHARMACY","1275 HIGHLAND AVE",46.403479,-117.057583,46.416714,-117.046275166667,653.11978591885,22259,636.077,3,3,34.9941909548687,569.828078398084
53003960600,"WA21","Washington",53003,3,22259,636.077,46.39497,-117.0631,6.914813675,"OWL TRI-STATE PHARMACY","1275 HIGHLAND AVE",46.403479,-117.057583,46.416714,-117.046275166667,1037.59505165015,22259,636.077,3,3,34.9941909548687,586.237482739496
53005010100,"WA1","Washington",53005,2,190529,1700.094,46.31621,-119.2645,8.622543341,"Malley's Compounding Pharmacy","1906 GEORGE WASHINGTON WAY",46.300729,-119.273602,46.259064,-119.258391727273,1860.04592258654,190529,1700.094,2,2,112.069685558563,572.28489063818
53005010100,"WA137","Washington",53005,2,190529,1700.094,46.31621,-119.2645,8.622543341,"Logar Pharmacy","516 9Th St Suite B",46.263097,-119.487507,46.263097,-119.487507,18144.73603569,190529,1700.094,2,2,112.069685558563,1267.31546466544
53005010100,"WA4","Washington",53005,2,190529,1700.094,46.31621,-119.2645,8.622543341,"WALGREENS #1078","2005 W COURT ST",46.242091,-119.118039,46.2168847142857,-119.127096071429,13966.1783304434,190529,1700.094,2,2,112.069685558563,1088.97462180551
53005010201,"WA1","Washington",53005,2,190529,1700.094,46.33086,-119.3361,9.517423515,"YOKES PHARMACY 14","1401 BOMBING RANGE RD",46.284197,-119.347674,46.259064,-119.258391727273,5270.19712853684,190529,1700.094,2,2,112.069685558563,717.830144108139
53005010201,"WA137","Washington",53005,2,190529,1700.094,46.33086,-119.3361,9.517423515,"Logar Pharmacy","516 9Th St Suite B",46.263097,-119.487507,46.263097,-119.487507,13874.8527969742,190529,1700.094,2,2,112.069685558563,1085.07684803705
53005010201,"WA4","Washington",53005,2,190529,1700.094,46.33086,-119.3361,9.517423515,"WALGREENS #10195","2800 W CLEARWATER AVE",46.212065,-119.158822,46.2168847142857,-119.127096071429,18999.0714853717,190529,1700.094,2,2,112.069685558563,1303.77850165785
53005010202,"WA1","Washington",53005,2,190529,1700.094,46.32261,-119.2785,11.4861599,"Malley's Compounding Pharmacy","1906 GEORGE WASHINGTON WAY",46.300729,-119.273602,46.259064,-119.258391727273,2464.72600735347,190529,1700.094,2,2,112.069685558563,598.092636656033
