"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P60812","FRUTH PHARMACY 01","2501 JACKSON AVE","POINT PLEASANT","WV",25550,38.868697,-82.126119,"WV1",38.868298,-82.1259325,47.2663647097576,"mason",54053,27000,430.767,6
"P61093","Clay-Battelle Pharmacy","5851 Mason Dixon Hwy","Blacksville","WV",26521,39.719689,-80.206916,"WV100",39.719689,-80.206916,0,"monongalia",54061,103715,360.089,3
"P61094","Reed's Pharmacy","2830 Northwestern Pike","Capon Bridge","WV",26711,39.297052,-78.430418,"WV101",39.297052,-78.430418,0,"hampshire",54027,23412,640.402,3
"P61110","EA Hawse Pharmacy","17978 WV-55","BAKER","WV",268010097,38.999518,-78.821226,"WV102",38.999518,-78.821226,0,"hardy",54031,13812,582.316,6
"P61111","Wardensville Pharmacy","333 EAST MAIN ST","WARDENSVILLE","WV",26851,39.080279,-78.591641,"WV103",39.080279,-78.591641,0,"hardy",54031,13812,582.316,6
"P61112","Primary Care Pharmacy","122 Center Street","Clay","WV",25043,38.474634,-81.079209,"WV104",38.4699336666667,-81.0823893333333,592.119205328604,"clay",54015,8901,341.938,3
"P61114","New River Health Pharmacy - Sophia","302 W Main St.","Sophia","WV",25921,37.707695,-81.253104,"WV105",37.707695,-81.253104,0,"raleigh",54081,77097,605.357,3
"P61117","Green Bank Pharmacy","4498 Potomac Highland Trl.","Green Bank","WV",24944,38.414989,-79.846681,"WV106",38.414989,-79.846681,0,"pocahontas",54075,8574,940.239,9
"P61138","Alum Creek Pharmacy at Sand Plant","1563 Sand Plant Rd","South Charleston","WV",253096120,38.272633,-81.786011,"WV107",38.270267,-81.7969305,989.991287886416,"kanawha",54039,187827,901.635,3
"P61132","Mace's Pharmacy Inc.","204 S Crim Ave","Belington","WV",26250,39.022432,-79.937215,"WV109",39.022432,-79.937215,0,"barbour",54001,16790,341.059,6
"P60824","CVS Pharmacy #03439","505 RANDOLPH AVE","ELKINS","WV",26241,38.927948,-79.8488,"WV11",38.9236164,-79.8483318,483.893292846493,"randolph",54083,29152,1039.7,7
"P61135","The Medicine Shoppe Pharmacy","10100 Frankfort Highway","Fort Ashby","WV",26719,39.504582,-78.770444,"WV110",39.504582,-78.770444,0,"mineral",54057,27421,327.869,3
"P61140","Harman Pill Box Pharmacy","15 Mott Street","Harman","WV",26270,38.921447,-79.523878,"WV111",38.921447,-79.523878,0,"randolph",54083,29152,1039.7,7
"P61146","WalMart Pharmacy 10-7256","3707 Buffalo Rd","Buffalo","WV",250339436,38.626059,-81.971035,"WV112",38.618331,-81.9478965,2188.56003330596,"putnam",54079,56644,345.678,2
"P61151","Valley Health Care Pharmacy","1 Poling Street","Mill Creek","WV",26280,38.73539,-79.95785,"WV113",38.73539,-79.95785,0,"randolph",54083,29152,1039.7,7
"P61191","Phillips Drug","615 WELLS ST","SISTERSVILLE","WV",261751323,39.564083,-80.995679,"WV114",39.5638685,-80.9956735,23.8826953122577,"tyler",54095,8949,256.303,9
"P61173","Bradshaw Economy Drug Inc.","10029 Marshall Highway","Bradshaw","WV",24817,37.35145,-81.799538,"WV115",37.3513455,-81.799787,24.9165467938439,"mcdowell",54047,19707,533.457,7
"P61176","Walmart Pharmacy 10-6951","369 Scott Fork Rd","Sutton","WV",26601,38.715683,-80.675309,"WV116",38.715683,-80.675309,0,"braxton",54007,14345,510.735,8
"P61184","Cowen Pharmacy","6815 Webster Road","Cowen","WV",26206,38.409684,-80.550126,"WV117",38.409684,-80.550126,0,"webster",54101,8637,553.47,9
"P61189","Preston Taylor Pharmacy #2","30 Cortland Acres Ln","Thomas","WV",262928066,39.149305,-79.50418,"WV118",39.149305,-79.50418,0,"tucker",54093,7035,419.045,8
"P61206","Pine Grove Pharmacy","13030 SHORTLINE HWY","PINE GROVE","WV",26419,39.560844,-80.688695,"WV119",39.560844,-80.688695,0,"wetzel",54103,15793,358.067,6
"P61267","Walgreens #17781","2100 East Dupont Avenue","BELLE","WV",250151842,38.221665,-81.524169,"WV12",38.2356443333333,-81.5354128333333,1840.76790493798,"kanawha",54039,187827,901.635,3
"P61207","Maxwelton Health Center Pharmacy","390 Industrial Park Rd","Maxwelton","WV",249578073,37.859315,-80.403121,"WV120",37.859315,-80.403121,0,"greenbrier",54025,35523,1019.812,6
"P61230","Walgreens #18423","1490 EAST MAIN STREET","HARRISVILLE","WV",263629602,39.212878,-81.04136,"WV121",39.212878,-81.04136,0,"ritchie",54085,10005,451.991,8
"P61256","Walgreens #17275","8 CHERRY RIVER PLAZA","RICHWOOD","WV",262611371,38.223972,-80.529225,"WV122",38.223972,-80.529225,0,"nicholas",54067,25496,646.847,6
"P61264","Walgreens #17559","69 LEWIS STREET","WHITESVILLE","WV",252090067,37.98508,-81.541605,"WV123",37.98508,-81.541605,0,"boone",54005,23236,501.534,3
"P61271","Rite Aid #1849","292 MAIN ST","GILBERT","WV",256210338,37.844881,-82.408166,"WV124",37.844881,-82.408166,0,"martin",21159,12175,229.618,9
"P61282","Walgreens # 19503","14025 Rocket Boys Dr","War","WV",24815,37.301597,-81.682506,"WV125",37.301597,-81.682506,0,"mcdowell",54047,19707,533.457,7
"P61325","Highland Pharmacy and Wellness","198 Morgantown St, Ste 1","Bruceton Mills","WV",265255003,39.658863,-79.639126,"WV126",39.658863,-79.639126,0,"preston",54077,33760,648.814,3
"P60826","CVS Pharmacy #03475","1201 BEVERLY RD","FAIRMONT","WV",26554,39.468265,-80.154499,"WV13",39.4603992857143,-80.1680017142857,1453.71905479789,"marion",54049,56575,308.754,4
"P60921","FRUTH PHARMACY 12","1419 US ROUTE 60 EAST","HUNTINGTON","WV",25705,38.413642,-82.389788,"WV14",38.416420037037,-82.3921593333333,372.041964964731,"cabell",54011,96100,281.021,2
"P60830","Fritz's Pharmacy IV","105 RAILROAD AVE","ALDERSON","WV",24910,37.72379,-80.64308,"WV16",37.72379,-80.64308,0,"monroe",54063,13517,472.753,8
"P60874","CVS Pharmacy #06310","1846 COAL HERITAGE ROAD","BLUEFIELD","WV",24701,37.284006,-81.250167,"WV17",37.291387,-81.246455,884.979637822704,"mercer",54055,60963,418.963,4
"P60988","CVS Pharmacy #07649","74 W MAIN ST","BUCKHANNON","WV",26201,38.992997,-80.233351,"WV18",38.9911125,-80.2324306666667,224.385796483197,"upshur",54097,24604,354.637,7
"P61202","Davis Brothers Pharmacy - Chester","559 Carolina Ave Ste B","Chester","WV",260341364,40.614474,-80.561203,"WV19",40.613939,-80.5618215,79.2375982323023,"hancock",54029,29921,82.608,3
"P61055","WALMART PHARMACY 10-2852","10 WAL-MART DRIVE","MOUNDSVILLE","WV",26041,39.926721,-80.747833,"WV2",39.9223598333333,-80.747628,485.798187301552,"marshall",54051,32006,305.432,3
"P61236","Walgreens #19209","8699 ELK RIVER ROAD","CLENDENIN","WV",250450685,38.490411,-81.350156,"WV20",38.4897335,-81.3492715,107.830760327439,"kanawha",54039,187827,901.635,3
"P61040","KROGER PHARMACY","91 27TH STREET","WELLSBURG","WV",26070,40.289499,-80.609011,"WV21",40.3055843333333,-80.6032835,1855.46704175358,"brooke",54009,23067,89.195,3
"P60864","CVS Pharmacy #06307","2907 State St","GASSAWAY","WV",26624,38.65876,-80.74846,"WV22",38.6658546666667,-80.744994,845.287230729307,"braxton",54007,14345,510.735,8
"P61243","Walgreens #19616","337 MAIN STREET","GRANTSVILLE","WV",261470733,38.924445,-81.09407,"WV23",38.924262,-81.0949025,74.9205111363741,"calhoun",54013,7450,279.249,8
"P61020","KROGER PHARMACY","308 Stokes Dr","HINTON","WV",25951,37.659991,-80.891073,"WV24",37.6638263333333,-80.889715,443.402155861682,"summers",54089,13210,360.592,6
