"ID","Origin","Destination","Drive_Time"
"C1406_WV1","C1406","WV1",6995.84639449851
"C1407_WV1","C1407","WV1",3782.27809117498
"C1409_WV1","C1409","WV1",3111.5289754726
"C1412_WV1","C1412","WV1",3624.89139635163
"C1414_WV1","C1414","WV1",6403.7150951381
"C1408_WV100","C1408","WV100",2841.22657040872
"C1411_WV100","C1411","WV100",1544.00091044578
"C1412_WV100","C1412","WV100",5741.13288203436
"C1413_WV100","C1413","WV100",2619.45229740749
"C1410_WV101","C1410","WV101",2463.82962723543
"C1411_WV101","C1411","WV101",6353.69830482152
"C1408_WV102","C1408","WV102",6509.3412816487
"C1410_WV102","C1410","WV102",4558.63352360384
"C1411_WV102","C1411","WV102",5760.60769362908
"C1410_WV103","C1410","WV103",3651.29049204545
"C1411_WV103","C1411","WV103",6294.1057986551
"C1406_WV104","C1406","WV104",3750.7741860166
"C1407_WV104","C1407","WV104",2395.91606215165
"C1408_WV104","C1408","WV104",5202.51930288414
"C1409_WV104","C1409","WV104",5650.22741342784
"C1412_WV104","C1412","WV104",4593.62723777613
"C1414_WV104","C1414","WV104",6586.76096172667
"C1406_WV105","C1406","WV105",1212.64304375863
"C1407_WV105","C1407","WV105",3918.36055059161
"C1409_WV105","C1409","WV105",6145.27082971467
"C1414_WV105","C1414","WV105",4567.44030783849
"C1406_WV106","C1406","WV106",6359.9309630821
"C1407_WV106","C1407","WV106",7187.11586197466
"C1408_WV106","C1408","WV106",5274.96644622138
"C1411_WV106","C1411","WV106",6457.77959177665
"C1406_WV107","C1406","WV107",3906.3450776208
"C1407_WV107","C1407","WV107",1488.75271241087
"C1409_WV107","C1409","WV107",3110.95735348247
"C1412_WV107","C1412","WV107",5354.70685606284
"C1414_WV107","C1414","WV107",4081.93191466589
"C1408_WV109","C1408","WV109",2633.9945795547
"C1411_WV109","C1411","WV109",3428.02940467695
"C1412_WV109","C1412","WV109",6536.57489146798
"C1413_WV109","C1413","WV109",6107.55510252533
"C1408_WV11","C1408","WV11",3211.02310384973
