"ID","Origin","Destination","Drive_Time"
"WV104_WV1","WV104","WV1",4979.0145060393
"WV105_WV1","WV105","WV1",7067.66717143722
"WV107_WV1","WV107","WV1",3756.95730951272
"WV112_WV1","WV112","WV1",1947.70631051414
"WV114_WV1","WV114","WV1",6109.28911005279
"WV116_WV1","WV116","WV1",6174.82651823347
"WV117_WV1","WV117","WV1",7037.99176628953
"WV119_WV1","WV119","WV1",6897.66795861015
"WV12_WV1","WV12","WV1",4457.72928600777
"WV121_WV1","WV121","WV1",5077.42854710781
"WV123_WV1","WV123","WV1",5396.27308973138
"WV124_WV1","WV124","WV1",5772.59095617904
"WV14_WV1","WV14","WV1",3018.14434456837
"WV20_WV1","WV20","WV1",4049.07170055722
"WV22_WV1","WV22","WV1",5953.57009531616
"WV23_WV1","WV23","WV1",4578.75403472949
"WV3_WV1","WV3","WV1",3030.36305026225
"WV30_WV1","WV30","WV1",4983.09371390381
"WV33_WV1","WV33","WV1",6176.32636311665
"WV35_WV1","WV35","WV1",4929.25440488545
"WV36_WV1","WV36","WV1",6706.10456274866
"WV41_WV1","WV41","WV1",6743.41800022905
"WV42_WV1","WV42","WV1",6198.60922884945
"WV45_WV1","WV45","WV1",5533.68951698821
"WV47_WV1","WV47","WV1",2707.51079092494
"WV48_WV1","WV48","WV1",3526.37354359644
"WV51_WV1","WV51","WV1",6234.11933358764
"WV53_WV1","WV53","WV1",6555.7834953112
"WV54_WV1","WV54","WV1",5539.10078380146
"WV55_WV1","WV55","WV1",2765.33318540305
"WV56_WV1","WV56","WV1",6919.97350041583
"WV59_WV1","WV59","WV1",6680.20580472356
"WV6_WV1","WV6","WV1",3738.65961747015
"WV61_WV1","WV61","WV1",2433.68044987124
"WV62_WV1","WV62","WV1",3559.9085431834
"WV63_WV1","WV63","WV1",5195.54721236549
"WV64_WV1","WV64","WV1",2181.94873601889
"WV67_WV1","WV67","WV1",3342.22325210355
"WV69_WV1","WV69","WV1",5116.41288489103
"WV7_WV1","WV7","WV1",6899.02588319123
"WV73_WV1","WV73","WV1",6118.19806764951
"WV74_WV1","WV74","WV1",4608.51090474996
"WV75_WV1","WV75","WV1",5543.12241080519
"WV78_WV1","WV78","WV1",6647.51403681165
"WV79_WV1","WV79","WV1",3468.89901426378
"WV81_WV1","WV81","WV1",3802.34411089468
"WV82_WV1","WV82","WV1",6191.62846291647
"WV83_WV1","WV83","WV1",1422.3713219755
"WV87_WV1","WV87","WV1",2805.11688486605
"WV92_WV1","WV92","WV1",2063.87434358993
"WV93_WV1","WV93","WV1",7157.76928029571
"WV95_WV1","WV95","WV1",4624.00698143107
"WV96_WV1","WV96","WV1",3171.01221489693
"WV99_WV1","WV99","WV1",4648.64672014745
"WV102_WV100","WV102","WV100",6782.71237081935
"WV106_WV100","WV106","WV100",7117.25595056855
"WV109_WV100","WV109","WV100",4107.11598942398
"WV11_WV100","WV11","WV100",4677.44732045477
"WV110_WV100","WV110","WV100",5877.27715722543
"WV111_WV100","WV111","WV100",5240.34075780256
"WV113_WV100","WV113","WV100",5457.68694979121
"WV114_WV100","WV114","WV100",3756.60121742576
"WV116_WV100","WV116","WV100",5807.06868025072
"WV117_WV100","WV117","WV100",7129.09817298486
"WV118_WV100","WV118","WV100",4475.70225637892
"WV119_WV100","WV119","WV100",2566.87498572235
"WV121_WV100","WV121","WV100",4629.17561662188
"WV126_WV100","WV126","WV100",2617.12004149072
"WV13_WV100","WV13","WV100",1773.82315089961
"WV18_WV100","WV18","WV100",4146.14536203333
"WV19_WV100","WV19","WV100",4956.69471604142
"WV2_WV100","WV2","WV100",2726.52470443122
"WV21_WV100","WV21","WV100",3598.63248643438
"WV22_WV100","WV22","WV100",6155.62829700641
"WV23_WV100","WV23","WV100",5725.61304459922
"WV27_WV100","WV27","WV100",2197.78648950389
"WV30_WV100","WV30","WV100",4529.99180164865
"WV31_WV100","WV31","WV100",3976.7125398595
"WV33_WV100","WV33","WV100",3676.15621859184
"WV37_WV100","WV37","WV100",6139.33738979434
"WV38_WV100","WV38","WV100",6726.48569351521
"WV43_WV100","WV43","WV100",2576.44411933416
"WV44_WV100","WV44","WV100",3317.01326007732
"WV46_WV100","WV46","WV100",4519.07971104635
"WV48_WV100","WV48","WV100",5879.23363481686
"WV49_WV100","WV49","WV100",1798.77763756512
"WV52_WV100","WV52","WV100",5182.13863367088
"WV54_WV100","WV54","WV100",5028.93036902687
"WV56_WV100","WV56","WV100",4063.4332952084
"WV62_WV100","WV62","WV100",6708.71822444167
"WV67_WV100","WV67","WV100",5971.31821210271
"WV71_WV100","WV71","WV100",6308.01684891333
"WV72_WV100","WV72","WV100",6723.88404428064
"WV78_WV100","WV78","WV100",3044.61057577543
"WV8_WV100","WV8","WV100",5975.98840940449
