"GEOID","Cluster","State","County.Code","Tract_RUC","Tract_Population","Tract_Land","Tract_Lat","Tract_Long","Tract_methadone_unserved","Name","Address","Pharm_Lat","Pharm_Long","Cluster_centroid_Latitude","Cluster_centroid_Longitude","Shortest_distance","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC","Max_RUC","Max_PopD","Drive_Time"
54001965500,"WV109","West Virginia",54001,6,16790,341.059,39.10738,-80.10873,8.768749093,"Mace's Pharmacy Inc.","204 S Crim Ave",39.022432,-79.937215,39.022432,-79.937215,17583.6707555551,16790,341.059,6,6,49.2290190260336,1419.47773431829
54001965500,"WV18","West Virginia",54001,6,16790,341.059,39.10738,-80.10873,8.768749093,"WALMART PHARMACY 10-2809","100 Buckhannon Crossroads",38.998342,-80.23573,38.9911125,-80.2324306666667,16366.5853752182,24604,354.637,7,7,69.3779836847255,1408.62172561102
54001965500,"WV86","West Virginia",54001,6,16790,341.059,39.10738,-80.10873,8.768749093,"MACES PHARMACY INC","440 S MAIN ST",39.146464,-80.035537,39.1486375,-80.036564,7673.35071823556,16790,341.059,6,6,49.2290190260336,996.505275125491
54001965600,"WV109","West Virginia",54001,6,16790,341.059,39.14729,-80.05038,0,"Mace's Pharmacy Inc.","204 S Crim Ave",39.022432,-79.937215,39.022432,-79.937215,16994.1522512456,16790,341.059,6,6,49.2290190260336,1394.31708455436
54001965600,"WV86","West Virginia",54001,6,16790,341.059,39.14729,-80.05038,0,"Walgreens #19307","114 S MAIN STREET",39.150811,-80.037591,39.1486375,-80.036564,1171.57166910972,16790,341.059,6,6,49.2290190260336,719.0093453088
54001965700,"WV109","West Virginia",54001,6,16790,341.059,39.1794,-79.93533,10.75802583,"Mace's Pharmacy Inc.","204 S Crim Ave",39.022432,-79.937215,39.022432,-79.937215,17474.3565947391,16790,341.059,6,6,49.2290190260336,1414.81220593466
54001965700,"WV84","West Virginia",54001,6,16790,341.059,39.1794,-79.93533,10.75802583,"Walgreens #12277","38 Victory Ave",39.346943,-80.002853,39.3501286666667,-80.0055176666667,19537.6952597349,16977,172.771,6,6,98.2630186779031,1498.85814456521
54001965700,"WV86","West Virginia",54001,6,16790,341.059,39.1794,-79.93533,10.75802583,"Walgreens #19307","114 S MAIN STREET",39.150811,-80.037591,39.1486375,-80.036564,9382.31886241292,16790,341.059,6,6,49.2290190260336,1069.44403551898
54001965800,"WV109","West Virginia",54001,6,16790,341.059,39.02013,-79.91735,8.133644504,"Mace's Pharmacy Inc.","204 S Crim Ave",39.022432,-79.937215,39.022432,-79.937215,1737.04000601847,16790,341.059,6,6,49.2290190260336,743.143533928065
54001965800,"WV11","West Virginia",54001,6,16790,341.059,39.02013,-79.91735,8.133644504,"HEALTH CENTER PHARMACY","812 Gorman Ave",38.928288,-79.853211,38.9236164,-79.8483318,11633.4581893517,29152,1039.7,7,7,49.2290190260336,1208.26266199273
54001965800,"WV86","West Virginia",54001,6,16790,341.059,39.02013,-79.91735,8.133644504,"MACES PHARMACY INC","440 S MAIN ST",39.146464,-80.035537,39.1486375,-80.036564,17380.3042660273,16790,341.059,6,6,49.2290190260336,1410.79805254524
54003971201,"WV77","West Virginia",54003,2,111610,321.149,39.52173,-78.00098,0,"REEDS PHARMACY LLC","261 BERKMORE PL STE 1C",39.552557,-78.18773,39.5799975,-78.214087,16395.8023462582,17510,229.072,8,8,347.533387928968,1429.81943366528
54003971202,"WV77","West Virginia",54003,2,111610,321.149,39.54816,-78.07774,0,"REEDS PHARMACY LLC","261 BERKMORE PL STE 1C",39.552557,-78.18773,39.5799975,-78.214087,9453.62570489043,17510,229.072,8,8,347.533387928968,1133.5273346117
54003971800,"WV77","West Virginia",54003,2,111610,321.149,39.41375,-78.12478,0,"REEDS PHARMACY LLC","261 BERKMORE PL STE 1C",39.552557,-78.18773,39.5799975,-78.214087,16371.1327822207,17510,229.072,8,8,347.533387928968,1428.76653667216
54005958200,"WV107","West Virginia",54005,3,23236,501.534,38.16553,-81.75857,11.98816582,"Alum Creek Pharmacy at Sand Plant","1563 Sand Plant Rd",38.272633,-81.786011,38.270267,-81.7969305,12161.7981388144,187827,901.635,3,3,208.318221896887,1046.81803264459
54005958200,"WV12","West Virginia",54005,3,23236,501.534,38.16553,-81.75857,11.98816582,"Mountaineer Drug","9709 MacCorkle Ave SE Suite A",38.243286,-81.56638,38.2356443333333,-81.5354128333333,18909.3890912045,187827,901.635,3,3,208.318221896887,1334.8052144926
54005958200,"WV6","West Virginia",54005,3,23236,501.534,38.16553,-81.75857,11.98816582,"WALMART PHARMACY 10-2036","2700 MOUNTAINEER BLV",38.319786,-81.714216,38.3442047894737,-81.6515568157895,17604.1211073193,187827,901.635,3,3,208.318221896887,1279.09637694038
54005958200,"WV63","West Virginia",54005,3,23236,501.534,38.16553,-81.75857,11.98816582,"Van Pharmacy Inc","19024 POND FORK RD",37.972436,-81.712797,37.972436,-81.712797,21866.2363200381,23236,501.534,3,3,46.3298599895521,1474.27516071028
54005958200,"WV74","West Virginia",54005,3,23236,501.534,38.16553,-81.75857,11.98816582,"Walgreens #17413","406 SMOOT AVE",38.087665,-81.838471,38.0734856,-81.8275676,11139.506107672,23236,501.534,3,3,46.3298599895521,1016.4583152465
54005958200,"WV95","West Virginia",54005,3,23236,501.534,38.16553,-81.75857,11.98816582,"FAMILY LIFE PHARMACY","21189 COAL RIVER RD",38.132167,-81.629808,38.132167,-81.629808,11868.2367854747,23236,501.534,3,3,46.3298599895521,1047.56054057512
54005958300,"WV35","West Virginia",54005,3,23236,501.534,38.05919,-81.91693,10.46945704,"Walgreens #17792","901 MAIN STREET",37.977357,-82.017246,37.9752525,-82.0182665,12664.2436894052,34428,453.77,6,6,75.8710359873945,1207.33380668537
54005958300,"WV63","West Virginia",54005,3,23236,501.534,38.05919,-81.91693,10.46945704,"Van Pharmacy Inc","19024 POND FORK RD",37.972436,-81.712797,37.972436,-81.712797,20341.543712337,23236,501.534,3,3,46.3298599895521,1409.2012802136
54005958300,"WV74","West Virginia",54005,3,23236,501.534,38.05919,-81.91693,10.46945704,"Walgreens #17413","406 SMOOT AVE",38.087665,-81.838471,38.0734856,-81.8275676,7571.10740941515,23236,501.534,3,3,46.3298599895521,864.159058804895
54005958300,"WV99","West Virginia",54005,3,23236,501.534,38.05919,-81.91693,10.46945704,"HARTS PHARMACY INC","1073 MCCLELLAN HIGHWAY",38.030847,-82.129474,38.030847,-82.129474,18898.3468842623,21241,437.04,2,3,48.6019586307889,1347.41948654969
54005958400,"WV35","West Virginia",54005,3,23236,501.534,38.03901,-81.85309,7.2988691,"Walgreens #17792","901 MAIN STREET",37.977357,-82.017246,37.9752525,-82.0182665,15950.3789452439,34428,453.77,6,6,75.8710359873945,1347.58605940456
54005958400,"WV63","West Virginia",54005,3,23236,501.534,38.03901,-81.85309,7.2988691,"Van Pharmacy Inc","19024 POND FORK RD",37.972436,-81.712797,37.972436,-81.712797,14364.9662584266,23236,501.534,3,3,46.3298599895521,1154.1209544807
54005958400,"WV74","West Virginia",54005,3,23236,501.534,38.03901,-81.85309,7.2988691,"Madison Medical Pharmacy","471 Main St",38.061769,-81.823107,38.0734856,-81.8275676,3650.59435592061,23236,501.534,3,3,46.3298599895521,696.831561681748
54005958400,"WV95","West Virginia",54005,3,23236,501.534,38.03901,-81.85309,7.2988691,"FAMILY LIFE PHARMACY","21189 COAL RIVER RD",38.132167,-81.629808,38.132167,-81.629808,22142.177202427,23236,501.534,3,3,46.3298599895521,1486.05231757064
54005958501,"WV12","West Virginia",54005,3,23236,501.534,38.04929,-81.6412,6.998527436,"WalMart Pharmacy 10-4278","1001 Warrior Way",38.20214,-81.50588,38.2356443333333,-81.5354128333333,20734.9767258418,187827,901.635,3,3,208.318221896887,1412.72129473892
