"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P59870","SNITEMAN PHARMACY","528 HEWETT ST","NEILLSVILLE","WI",544561975,44.560274,-90.596401,"WI1",44.560274,-90.596401,0,"clark",55019,34513,1209.695,6
"P60034","CORNELL PHARMACY","300 MAIN ST","CORNELL","WI",54732,45.167514,-91.148814,"WI100",45.167514,-91.148814,0,"chippewa",55017,63445,1008.356,3
"P60035","CRIVITZ PHARMACY","710 MAIN AVE","CRIVITZ","WI",54114,45.23263,-88.007035,"WI101",45.23263,-88.007035,0,"marinette",55075,40712,1399.464,6
"P60037","BENTLEY PHARMACY","206 S MAIN ST","WESTFIELD","WI",539649702,43.885536,-89.49329,"WI102",43.885536,-89.49329,0,"marquette",55077,15164,455.712,8
"P60101","WALGREENS #7732","2700 NEW PINERY RD","PORTAGE","WI",53901,43.562964,-89.470288,"WI103",43.5604025,-89.4660715,443.8401822,"columbia",55021,56790,765.548,2
"P60377","WALGREENS #1158","900 1ST AVE","WOODRUFF","WI",54568,45.897125,-89.698414,"WI104",45.892484,-89.7087735,954.5134402,"vilas",55125,21465,857.707,9
"P60407","HARTIG DRUG CO","101 S MARQUETTE RD","PRAIRIE DU CHIEN","WI",53821,43.050506,-91.140958,"WI105",43.04018867,-91.130302,1438.966709,"crawford",55023,16313,570.648,7
"P60441","CVS Pharmacy #17413","660 N EDWARDS BLVD","LAKE GENEVA","WI",53147,42.598372,-88.4151,"WI106",42.59766075,-88.416209,120.5295761,"walworth",55127,102917,555.418,4
"P60045","PHARMACY STATION","3 E GENEVA ST","ELKHORN","WI",531211718,42.669591,-88.532248,"WI107",42.64744267,-88.56366233,3562.682067,"walworth",55127,102917,555.418,4
"P60768","Hayat Pharmacy 17","577 S Taylor Dr","Sheboygan","WI",530814234,43.751145,-87.746747,"WI11",43.753913,-87.74362962,397.2154503,"sheboygan",55117,115094,511.527,3
"P60404","Walgreens","517 N MAIN ST","VIROQUA","WI",546651453,43.559905,-90.888718,"WI110",43.560811,-90.88787067,121.8353792,"vernon",55123,30378,791.562,6
"P60345","WALGREENS #9168","710 W WISCONSIN ST","SPARTA","WI",54656,43.93928,-90.819401,"WI111",43.941052,-90.82138967,253.6159752,"monroe",55081,45303,900.905,6
"P60075","THRIFTY WHITE PHARMACY","190 RICHLAND SQ","RICHLAND CENTER","WI",535812995,43.317283,-90.361227,"WI112",43.32322967,-90.363352,683.9852702,"richland",55103,17626,586.15,6
"P60064","AGNESIAN PHARMACY","730 N Margaret Street","MARKESAN","WI",53946,43.71471,-88.989637,"WI114",43.71471,-88.989637,0,"green lake",55047,18745,349.543,6
"P60065","Essentia Health Superior Pharmacy","3500 Tower Ave Ste A","SUPERIOR","WI",548804685,46.515589,-92.130585,"WI115",46.515589,-92.130585,0,"douglas",55031,43503,1304.291,2
"P60723","Forward Pharmacy of Deerfield","10 Liberty St Ste 106","Deerfield","WI",535319458,43.05236,-89.077302,"WI116",43.0279205,-89.0471995,3660.602858,"dane",55025,522837,1196.482,2
"P60070","BELLEVILLE HOMETOWN PHARMACY","1 W Main St STE 1","BELLEVILLE","WI",53508,42.859809,-89.534014,"WI118",42.859809,-89.534014,0,"dane",55025,522837,1196.482,2
"P60621","CVS Pharmacy #10163","2410 8th St S","Wisconsin Rapids","WI",544946159,44.372661,-89.817514,"WI119",44.36921233,-89.81604483,401.3098266,"wood",55141,73427,793.015,4
"P60158","WALGREENS #3104","2702 CALUMET AVE","MANITOWOC","WI",542205547,44.087784,-87.681543,"WI12",44.0923015,-87.67416288,775.2969193,"manitowoc",55071,79680,589.304,4
"P60653","BAY HOMETOWN PHARMACY","231 N 7th Ave","Sturgeon Bay","WI",542351707,44.838606,-87.373911,"WI120",44.8419774,-87.367546,627.1139606,"door",55029,27443,481.963,6
"P60091","WALGREENS #9008","403 STATE RD 82 EAST","MAUSTON","WI",53948,43.799935,-90.080611,"WI123",43.798634,-90.0784945,223.3679196,"juneau",55057,26427,767.081,7
"P60104","COLFAX PHARMACY","525 MAIN ST","COLFAX","WI",54730,44.998474,-91.727771,"WI125",44.998474,-91.727771,0,"dunn",55033,44260,850.16,6
"P60107","WALMART PHARMACY 10-1471","1717 NORTH SHAWANO STREET","NEW LONDON","WI",54961,44.411615,-88.743944,"WI126",44.406816,-88.7441545,534.4844302,"waupaca",55135,51651,747.694,6
"P60112","MILTON PHARMACY","725 S JANESVILLE ST","MILTON","WI",53563,42.770004,-88.938342,"WI128",42.770004,-88.938342,0,"rock",55105,161226,718.147,3
"P60114","WALMART PHARMACY 10-1650","825 EAST GREEN BAY AVENUE","SAUKVILLE","WI",53080,43.384911,-87.923051,"WI129",43.3847655,-87.9227235,31.05401113,"ozaukee",55089,87817,233.017,1
"P60116","PETERSON PHARMACY","727 WATER AVE","HILLSBORO","WI",54634,43.650684,-90.340465,"WI130",43.650684,-90.340465,0,"vernon",55123,30378,791.562,6
"P60254","WALGREENS","2901 GOLF RD","DELAFIELD","WI",53018,43.054453,-88.369872,"WI131",43.05597771,-88.36687843,296.8169525,"waukesha",55133,396731,549.721,1
"P60593","CVS Pharmacy #07261","2631 Tower Ave","Superior","WI",548804846,46.706601,-92.104218,"WI133",46.7053905,-92.090174,1080.504963,"douglas",55031,43503,1304.291,2
"P60127","WALMART PHARMACY 10-1727","861 County Rd F","BERLIN","WI",549239110,43.915726,-89.027124,"WI134",43.915726,-89.027124,0,"green lake",55047,18745,349.543,6
"P60320","WALGREENS #7966","849 WOODWARD AVE","CHIPPEWA FALLS","WI",54729,44.915565,-91.388815,"WI135",44.92211525,-91.391445,758.0687552,"chippewa",55017,63445,1008.356,3
"P60652","The Medicine Shoppe Pharmacy","1302 Stout Rd","Menomonie","WI",547512979,44.879088,-91.914143,"WI137",44.8905076,-91.9218318,1408.466317,"dunn",55033,44260,850.16,6
"P60438","WALGREENS #11278","3301 CHURCH ST","STEVENS POINT","WI",544815314,44.501075,-89.563496,"WI138",44.50404456,-89.54990744,1128.374005,"portage",55097,70371,800.874,4
"P60138","PHILLIPS ROCHE A CRI PHARMACY INC","402 WEST LAKE ST","FRIENDSHIP","WI",53934,43.975169,-89.821622,"WI139",43.975169,-89.821622,0,"adams",55001,20111,645.646,8
"P60153","MAYO CLINIC HEALTH SYSTEM-OSSEO","13025 8TH ST","OSSEO","WI",547580070,44.578105,-91.213115,"WI140",44.578105,-91.213115,0,"trempealeau",55121,29510,733.005,6
"P60797","Ascension Wisconsin Prescription Center #503","9252 N Green Bay Rd","Brown Deer","WI",532091104,43.185317,-87.959993,"WI141",43.1850955,-87.9613265,111.0106711,"milwaukee",55079,956586,241.473,1
"P60160","THE BLAIR PHARMACY","125 W BROADWAY ST Box 186","BLAIR","WI",54616,44.294471,-91.232829,"WI142",44.294471,-91.232829,0,"trempealeau",55121,29510,733.005,6
"P60161","WALGREENS","1012 N Central Ave","MARSHFIELD","WI",544492152,44.676718,-90.167381,"WI143",44.67481867,-90.16584267,243.9927503,"wood",55141,73427,793.015,4
"P60688","MARKETPLACE PHARMACY #2583","10514 Main St","Hayward","WI",548436720,46.013975,-91.483586,"WI144",46.0139325,-91.48116,187.6125381,"sawyer",55113,16384,1257.626,7
"P60168","OHDE PHARMACY","628 SECOND STREET","CHETEK","WI",54728,45.3151,-91.651079,"WI145",45.3151,-91.651079,0,"barron",55005,45358,863.041,6
"P60179","THE PHARMACY STATION","601 N MILWAUKEE ST","WATERFORD","WI",53185,42.770807,-88.203494,"WI146",42.767265,-88.200436,466.8150476,"racine",55101,195101,332.593,3
"P60188","Walmart PHARMACY 10-2509","810 SOUTH IRISH ROAD","CHILTON","WI",53014,44.024148,-88.142643,"WI147",44.023229,-88.1492995,542.5489699,"calumet",55015,49737,318.28,3
"P60189","WALMART PHARMACY 10-2510","8760 Northridge Way","MINOCQUA","WI",54548,45.827583,-89.824294,"WI148",45.827583,-89.824294,0,"oneida",55085,35352,1113.943,7
"P60190","NICOLET PHARMACY","15481 COMMERCIAL RD","LAKEWOOD","WI",54138,45.300673,-88.529698,"WI149",45.300673,-88.529698,0,"oconto",55083,37465,997.48,2
"P60087","WALGREENS","1203 W FOND DU LAC ST","RIPON","WI",549719289,43.855564,-88.865439,"WI15",43.849358,-88.852209,1266.968227,"fond du lac",55039,102082,719.566,3
"P60191","SWEET MED PRESCRIPTION PLUS","155 N MAIN ST","IOLA","WI",54945,44.507809,-89.131357,"WI150",44.507809,-89.131357,0,"waupaca",55135,51651,747.694,6
"P60334","WALGREENS #1497","2455 EASTERN AVE","PLYMOUTH","WI",530734240,43.747108,-87.951858,"WI151",43.73805225,-87.935943,1629.251567,"sheboygan",55117,115094,511.527,3
"P60335","WALGREENS","2206 WASHINGTON ST","TWO RIVERS","WI",54241,44.15417,-87.568897,"WI153",44.150546,-87.568728,403.6475893,"manitowoc",55071,79680,589.304,4
"P60218","Aurora Pharmacy Inc","1001 SERVICE RD SUITE 101","KIEL","WI",53042,43.917801,-88.023521,"WI154",43.917801,-88.023521,0,"manitowoc",55071,79680,589.304,4
"P60221","BELLIN HEALTH PHARMACY","595 COUNTY TRUNK R","DENMARK","WI",54208,44.349419,-87.839489,"WI155",44.349419,-87.839489,0,"brown",55009,258004,530.094,2
"P60222","ESSENTIA HEALTH HAYWARD PHARMACY","11134N State Highway 77 Suite A","HAYWARD","WI",548435325,46.069973,-91.240468,"WI156",46.069973,-91.240468,0,"sawyer",55113,16384,1257.626,7
"P60402","AURORA PHARMACY 102 HARTFORD","1640 E SUMNER ST SUITE 100","HARTFORD","WI",53027,43.318878,-88.348338,"WI157",43.321402,-88.342672,538.0666671,"washington",55131,133967,430.641,1
"P60274","WALGREENS #5935","25401 75TH ST","SALEM","WI",53168,42.568008,-88.11698,"WI159",42.568008,-88.11698,0,"kenosha",55059,167886,271.844,1
"P59987","WALGREENS #4055","1717 MILTON AVE","JANESVILLE","WI",53545,42.704892,-89.007254,"WI16",42.69709243,-89.01014,899.7731877,"rock",55105,161226,718.147,3
"P60303","HARTIG DRUG CO","1120 LINCOLN AVE","Fennimore","WI",53809,42.981847,-90.655924,"WI161",42.981847,-90.655924,0,"grant",55043,51742,1146.877,6
"P60309","LUXEMBURG PHARMACY LLC","125 SCHOOL CREEK TRAIL","LUXEMBURG","WI",54217,44.546428,-87.715659,"WI162",44.546428,-87.715659,0,"kewaunee",55061,20378,342.454,2
"P60679","BEAVER DAM HOMETOWN PHARMACY","609 N Spring St","Beaver Dam","WI",539162041,43.461825,-88.834544,"WI164",43.464053,-88.82367275,912.7179947,"dodge",55027,87833,875.696,4
"P60346","RIO HOMETOWN PHARMACY","208 LINCOLN AVE","RIO","WI",53960,43.448129,-89.239011,"WI165",43.448129,-89.239011,0,"columbia",55021,56790,765.548,2
"P60770","WAUTOMA HOMETOWN PHARMACY","W7810 STATE RD 21 SUITE B","WAUTOMA","WI",54982,44.071595,-89.272952,"WI166",44.070638,-89.2730285,106.7083105,"waushara",55137,24170,626.161,6
"P60708","Pick N Save Pharmacy #380","N65W24838 Main St","Sussex","WI",530892670,43.136436,-88.242086,"WI167",43.12851733,-88.24264867,882.6862846,"waukesha",55133,396731,549.721,1
"P60406","POYNETTE HOMETOWN PHARMACY","317 N HWY 51","POYNETTE","WI",53955,43.393028,-89.39565,"WI168",43.393028,-89.39565,0,"columbia",55021,56790,765.548,2
"P60414","WALGREENS #10396","1500 W JAMES ST","COLUMBUS","WI",539251001,43.346164,-89.029863,"WI169",43.3422255,-89.022351,749.7079308,"columbia",55021,56790,765.548,2
"P59898","PINNOW PHARMACY INC","1028 FIRST CENTER AVE","BRODHEAD","WI",535201420,42.620166,-89.376611,"WI17",42.620166,-89.376611,0,"green",55045,36869,584.045,2
"P60626","Smith Pharmacy","1800 Freedom Rd","Little Chute","WI",541403200,44.292598,-88.312366,"WI171",44.2771285,-88.293004,2312.198839,"outagamie",55087,183288,637.576,3
"P60443","Walmart Pharmacy 10-4281","800 W 10TH ST S","LADYSMITH","WI",54848,45.470959,-91.08896,"WI172",45.469248,-91.100846,947.242618,"rusk",55107,14211,913.553,6
"P60451","WALGREENS #11176","812 N MAIN ST","LAKE MILLS","WI",53551,43.089201,-88.90919,"WI173",43.088719,-88.904108,416.6156336,"jefferson",55055,84586,556.491,4
