"ID","Origin","Destination","Drive_Time"
"C1416_WI1","C1416","WI1",3719.64545906802
"C1417_WI1","C1417","WI1",3981.70350267159
"C1420_WI1","C1420","WI1",4927.30816067679
"C1427_WI1","C1427","WI1",4413.3935587751
"C1431_WI1","C1431","WI1",4439.55971185314
"C1416_WI100","C1416","WI100",2630.0499086143
"C1417_WI100","C1417","WI100",2582.56967941532
"C1420_WI100","C1420","WI100",7069.07664466494
"C1427_WI100","C1427","WI100",6622.31756756987
"C1431_WI100","C1431","WI100",5732.75183986313
"C1419_WI101","C1419","WI101",4011.87342433578
"C1428_WI101","C1428","WI101",6751.33326284238
"C1431_WI101","C1431","WI101",6258.95847981803
"C1418_WI102","C1418","WI102",4357.46787001204
"C1419_WI102","C1419","WI102",6378.66694737714
"C1420_WI102","C1420","WI102",6777.95381402381
"C1421_WI102","C1421","WI102",4766.7261304989
"C1422_WI102","C1422","WI102",4723.20174639602
"C1423_WI102","C1423","WI102",4700.2659850158
"C1424_WI102","C1424","WI102",4350.73629765467
"C1426_WI102","C1426","WI102",7095.53002871865
"C1427_WI102","C1427","WI102",6481.44809826562
"C1428_WI102","C1428","WI102",3899.4304590436
"C1430_WI102","C1430","WI102",6581.00020056196
"C1431_WI102","C1431","WI102",5872.96131619194
"C1432_WI102","C1432","WI102",7103.59974090252
"C1415_WI103","C1415","WI103",5651.99624844071
"C1418_WI103","C1418","WI103",4210.79281488446
"C1419_WI103","C1419","WI103",7024.12969394395
"C1420_WI103","C1420","WI103",6739.56861379408
"C1421_WI103","C1421","WI103",2978.12392747723
"C1422_WI103","C1422","WI103",2951.19044292075
"C1423_WI103","C1423","WI103",2911.9392941596
"C1424_WI103","C1424","WI103",2583.82080644759
"C1425_WI103","C1425","WI103",6250.20737778229
"C1426_WI103","C1426","WI103",6038.5626386289
"C1427_WI103","C1427","WI103",6558.09842279719
"C1428_WI103","C1428","WI103",4234.04121765015
"C1430_WI103","C1430","WI103",5337.9056970737
"C1431_WI103","C1431","WI103",7193.03592037938
"C1432_WI103","C1432","WI103",5970.01798067868
"C1431_WI104","C1431","WI104",5256.52112879878
"C1420_WI105","C1420","WI105",4268.68003790391
"C1421_WI105","C1421","WI105",6789.3669720369
"C1422_WI105","C1422","WI105",7099.11339071311
"C1423_WI105","C1423","WI105",6790.80942532278
"C1424_WI105","C1424","WI105",7083.39555234316
"C1427_WI105","C1427","WI105",4655.57811079196
"C1415_WI106","C1415","WI106",2676.51624936736
"C1418_WI106","C1418","WI106",6242.6681211138
"C1421_WI106","C1421","WI106",4515.37314251168
"C1422_WI106","C1422","WI106",4302.60578514657
"C1423_WI106","C1423","WI106",4548.73753579777
"C1424_WI106","C1424","WI106",4548.43462462349
"C1425_WI106","C1425","WI106",2678.78777775544
"C1426_WI106","C1426","WI106",3171.08193855575
"C1429_WI106","C1429","WI106",2569.48954020624
"C1430_WI106","C1430","WI106",2670.05359378982
"C1432_WI106","C1432","WI106",2798.47992291651
"C1415_WI107","C1415","WI107",2359.29740644463
"C1418_WI107","C1418","WI107",5911.18044341224
"C1421_WI107","C1421","WI107",3989.3694544126
"C1422_WI107","C1422","WI107",3772.81557028633
"C1423_WI107","C1423","WI107",4021.631455285
"C1424_WI107","C1424","WI107",4017.2531944108
"C1425_WI107","C1425","WI107",2783.99322012181
"C1426_WI107","C1426","WI107",3197.93551033909
"C1428_WI107","C1428","WI107",6943.64091835841
"C1429_WI107","C1429","WI107",2926.53194759872
"C1430_WI107","C1430","WI107",2508.46299352684
"C1432_WI107","C1432","WI107",2834.87486202338
"C1418_WI11","C1418","WI11",2939.16300733035
"C1419_WI11","C1419","WI11",4358.72909543281
"C1421_WI11","C1421","WI11",7090.95060253087
"C1422_WI11","C1422","WI11",6781.65890993259
"C1423_WI11","C1423","WI11",7054.09251058661
"C1424_WI11","C1424","WI11",6611.11006568683
"C1425_WI11","C1425","WI11",4041.02958236687
"C1426_WI11","C1426","WI11",3436.89278335073
"C1428_WI11","C1428","WI11",3636.03852966876
"C1429_WI11","C1429","WI11",5519.41000503902
"C1430_WI11","C1430","WI11",4320.56998598932
"C1432_WI11","C1432","WI11",3776.03823913306
"C1416_WI110","C1416","WI110",6760.66564034715
"C1417_WI110","C1417","WI110",7007.04437292029
"C1420_WI110","C1420","WI110",2330.08455908575
"C1421_WI110","C1421","WI110",6408.05292856561
"C1422_WI110","C1422","WI110",6653.74505786174
"C1423_WI110","C1423","WI110",6381.23492863537
"C1424_WI110","C1424","WI110",6489.07486422057
"C1427_WI110","C1427","WI110",2470.64153674728
"C1416_WI111","C1416","WI111",5187.77722830191
"C1417_WI111","C1417","WI111",5453.90908992742
"C1420_WI111","C1420","WI111",2283.58111073051
"C1421_WI111","C1421","WI111",7186.26152949907
"C1423_WI111","C1423","WI111",7144.05444014869
"C1424_WI111","C1424","WI111",7119.70732412828
"C1427_WI111","C1427","WI111",1882.91003422131
"C1431_WI111","C1431","WI111",6972.69781972134
"C1415_WI112","C1415","WI112",6635.08574621445
"C1420_WI112","C1420","WI112",4469.64280681556
"C1421_WI112","C1421","WI112",4281.33237919795
"C1422_WI112","C1422","WI112",4543.34498372695
"C1423_WI112","C1423","WI112",4259.38964339524
"C1424_WI112","C1424","WI112",4415.38442750455
"C1427_WI112","C1427","WI112",4525.59480032541
"C1415_WI114","C1415","WI114",6248.12363179014
"C1418_WI114","C1418","WI114",2556.5229188906
"C1419_WI114","C1419","WI114",5551.84305381777
"C1421_WI114","C1421","WI114",4124.49566173183
"C1422_WI114","C1422","WI114",3934.99409750233
"C1423_WI114","C1423","WI114",4061.83512300748
"C1424_WI114","C1424","WI114",3590.8343878501
"C1425_WI114","C1425","WI114",5495.33664161213
"C1426_WI114","C1426","WI114",5136.84589007186
"C1428_WI114","C1428","WI114",2630.51077701928
"C1429_WI114","C1429","WI114",6868.01427119625
"C1430_WI114","C1430","WI114",4723.97423525191
"C1431_WI114","C1431","WI114",6964.92379178517
"C1432_WI114","C1432","WI114",5172.90779862603
"C1415_WI116","C1415","WI116",2965.75256399692
"C1418_WI116","C1418","WI116",4638.71768787939
"C1421_WI116","C1421","WI116",1524.66698482817
"C1422_WI116","C1422","WI116",1211.74127745621
"C1423_WI116","C1423","WI116",1520.00135655013
"C1424_WI116","C1424","WI116",1329.71790112022
"C1425_WI116","C1425","WI116",4207.86945882246
"C1426_WI116","C1426","WI116",4240.83495807372
"C1428_WI116","C1428","WI116",5383.18513942084
"C1429_WI116","C1429","WI116",5092.68501217393
"C1430_WI116","C1430","WI116",3297.13944257468
"C1432_WI116","C1432","WI116",4025.27647287274
"C1415_WI118","C1415","WI118",2890.45365065756
"C1418_WI118","C1418","WI118",6313.51834416519
"C1421_WI118","C1421","WI118",1466.25943862847
"C1422_WI118","C1422","WI118",1723.20953052376
"C1423_WI118","C1423","WI118",1524.84193041327
"C1424_WI118","C1424","WI118",2008.1567420889
"C1425_WI118","C1425","WI118",5797.2542443365
"C1426_WI118","C1426","WI118",5931.66447095334
"C1428_WI118","C1428","WI118",6897.76079794969
"C1429_WI118","C1429","WI118",6420.9223070099
"C1430_WI118","C1430","WI118",4964.65495583462
"C1432_WI118","C1432","WI118",5670.13649485458
"C1416_WI119","C1416","WI119",6420.72232630043
"C1417_WI119","C1417","WI119",6680.38018241464
"C1418_WI119","C1418","WI119",6004.9321010005
"C1419_WI119","C1419","WI119",6450.24407205913
"C1420_WI119","C1420","WI119",6175.09680205535
"C1421_WI119","C1421","WI119",7066.16494683461
"C1422_WI119","C1422","WI119",7061.10088974769
"C1423_WI119","C1423","WI119",7001.49294960064
"C1424_WI119","C1424","WI119",6695.20564733961
"C1427_WI119","C1427","WI119",5732.44140845929
"C1428_WI119","C1428","WI119",5093.99627023518
"C1431_WI119","C1431","WI119",3438.26467314804
"C1418_WI12","C1418","WI12",3551.15466261021
"C1419_WI12","C1419","WI12",3042.48465586598
"C1425_WI12","C1425","WI12",5698.335729497
"C1426_WI12","C1426","WI12",5093.83920195443
"C1428_WI12","C1428","WI12",3653.67143133133
"C1429_WI12","C1429","WI12",7174.34841571093
"C1430_WI12","C1430","WI12",5912.45667770157
"C1432_WI12","C1432","WI12",5429.96788818725
"C1418_WI120","C1418","WI120",6831.5325345035
"C1419_WI120","C1419","WI120",3477.37327323908
"C1428_WI120","C1428","WI120",6314.70665824138
"C1418_WI123","C1418","WI123",6303.84547145882
"C1420_WI123","C1420","WI123",4710.13104269734
"C1421_WI123","C1421","WI123",5029.29297136996
"C1422_WI123","C1422","WI123",5139.48464939322
"C1423_WI123","C1423","WI123",4974.8994918046
"C1424_WI123","C1424","WI123",4832.56684891209
"C1427_WI123","C1427","WI123",4451.55577676729
"C1428_WI123","C1428","WI123",5909.94321042887
"C1431_WI123","C1431","WI123",6425.58266739948
"C1416_WI125","C1416","WI125",2062.77653691786
"C1417_WI125","C1417","WI125",1783.05348655318
"C1420_WI125","C1420","WI125",6615.79787199619
"C1427_WI125","C1427","WI125",6273.85711070763
"C1418_WI126","C1418","WI126",3775.66092118976
"C1419_WI126","C1419","WI126",2913.2302302765
"C1424_WI126","C1424","WI126",6994.145074954
"C1428_WI126","C1428","WI126",2609.90930754319
"C1431_WI126","C1431","WI126",4629.00315080578
"C1415_WI128","C1415","WI128",1660.30010924294
