"ID","Origin","Destination","Drive_Time"
"WI100_WI1","WI100","WI1",4100.67422546043
"WI102_WI1","WI102","WI1",5693.67117599155
"WI103_WI1","WI103","WI1",6768.74328445124
"WI110_WI1","WI110","WI1",5526.40992240547
"WI111_WI1","WI111","WI1",3715.37520171922
"WI112_WI1","WI112","WI1",6630.7179393665
"WI119_WI1","WI119","WI1",3452.77039775167
"WI123_WI1","WI123","WI1",4730.20323713938
"WI125_WI1","WI125","WI1",5015.26472959496
"WI126_WI1","WI126","WI1",6985.83909782806
"WI130_WI1","WI130","WI1",5078.78111652092
"WI134_WI1","WI134","WI1",6825.72446893235
"WI135_WI1","WI135","WI1",3830.34899129452
"WI137_WI1","WI137","WI1",5368.13433079508
"WI138_WI1","WI138","WI1",4175.50511818272
"WI139_WI1","WI139","WI1",4586.87524600686
"WI140_WI1","WI140","WI1",2758.85408809872
"WI142_WI1","WI142","WI1",3171.26999434909
"WI143_WI1","WI143","WI1",2218.22921727737
"WI145_WI1","WI145","WI1",5712.76556564388
"WI150_WI1","WI150","WI1",5635.31767357357
"WI166_WI1","WI166","WI1",5732.51430761237
"WI172_WI1","WI172","WI1",5302.92507480486
"WI177_WI1","WI177","WI1",5070.27780072364
"WI181_WI1","WI181","WI1",6885.26369317147
"WI187_WI1","WI187","WI1",6489.28491138527
"WI191_WI1","WI191","WI1",2543.64526262118
"WI192_WI1","WI192","WI1",5934.61537894622
"WI194_WI1","WI194","WI1",5350.72163183641
"WI196_WI1","WI196","WI1",6475.48393047669
"WI203_WI1","WI203","WI1",4265.23909512182
"WI210_WI1","WI210","WI1",2746.05396377822
"WI211_WI1","WI211","WI1",2838.79432680058
"WI212_WI1","WI212","WI1",7073.73526689456
"WI24_WI1","WI24","WI1",6941.13855564497
"WI25_WI1","WI25","WI1",6376.01093242019
"WI26_WI1","WI26","WI1",5405.80548053979
"WI28_WI1","WI28","WI1",4391.53238044476
"WI30_WI1","WI30","WI1",3293.29259390141
"WI33_WI1","WI33","WI1",6345.66612682808
"WI34_WI1","WI34","WI1",2524.77665594521
"WI35_WI1","WI35","WI1",6960.99029737354
"WI36_WI1","WI36","WI1",6545.08596157472
"WI37_WI1","WI37","WI1",2206.52283251292
"WI38_WI1","WI38","WI1",4623.99999662866
"WI43_WI1","WI43","WI1",4090.96419036929
"WI50_WI1","WI50","WI1",3540.58473753306
"WI51_WI1","WI51","WI1",6412.06798526103
"WI55_WI1","WI55","WI1",6205.53389990551
"WI57_WI1","WI57","WI1",6694.75813569804
"WI60_WI1","WI60","WI1",6523.56295826834
"WI65_WI1","WI65","WI1",3422.9765982291
"WI68_WI1","WI68","WI1",5819.61669142463
"WI69_WI1","WI69","WI1",5899.68531865361
"WI70_WI1","WI70","WI1",5663.68610196913
"WI72_WI1","WI72","WI1",5969.82166253464
"WI94_WI1","WI94","WI1",6309.23350929776
"WI98_WI1","WI98","WI1",3276.89974264917
"WI1_WI100","WI1","WI100",4100.67422546043
"WI104_WI100","WI104","WI100",6738.86301656762
"WI111_WI100","WI111","WI100",6608.97008275975
"WI119_WI100","WI119","WI100",6447.18172091706
"WI125_WI100","WI125","WI100",2769.59415052374
"WI135_WI100","WI135","WI100",1982.60145310993
"WI137_WI100","WI137","WI100",3580.48158186339
"WI138_WI100","WI138","WI100",6789.48856235156
"WI140_WI100","WI140","WI100",3476.59180642157
"WI142_WI100","WI142","WI100",4825.49475969729
"WI143_WI100","WI143","WI100",4621.99185564784
"WI144_WI100","WI144","WI100",4883.4269046631
"WI145_WI100","WI145","WI100",2488.58279932859
"WI148_WI100","WI148","WI100",6122.67622730503
"WI156_WI100","WI156","WI100",5009.11531724458
"WI172_WI100","WI172","WI100",2123.3879680582
"WI174_WI100","WI174","WI100",5634.76657717869
"WI187_WI100","WI187","WI100",4017.31368042061
"WI190_WI100","WI190","WI100",5656.5992769926
"WI191_WI100","WI191","WI100",2776.13861213744
"WI192_WI100","WI192","WI100",5642.75805712025
"WI193_WI100","WI193","WI100",5808.26301437501
"WI196_WI100","WI196","WI100",3262.07221857626
"WI202_WI100","WI202","WI100",4076.81015713887
"WI210_WI100","WI210","WI100",3649.8591746117
"WI211_WI100","WI211","WI100",1807.16702838109
"WI212_WI100","WI212","WI100",5461.40052201476
"WI25_WI100","WI25","WI100",4503.50230129487
"WI26_WI100","WI26","WI100",4516.23972950868
"WI27_WI100","WI27","WI100",5713.3873680134
"WI28_WI100","WI28","WI100",4101.50319400405
"WI30_WI100","WI30","WI100",1581.27148670371
"WI32_WI100","WI32","WI100",4784.68758855158
"WI34_WI100","WI34","WI100",2849.89018214527
"WI35_WI100","WI35","WI100",4753.05736549466
"WI37_WI100","WI37","WI100",4931.18676924245
"WI38_WI100","WI38","WI100",1723.38173114084
